N_W_m,N_L_m,P_W_m,P_L_m,VCM,VON,VGN,VGP,NFmin_dB,NF_dB,Rn,SOpt_real,SOpt_imag,N_W_um,N_L_um,P_W_um,P_L_um,Wp_over_Wn
1e-06,5e-07,2e-06,3.6e-07,0.9,0.585,1.485,0.315,0.0165772,18.2224,3270.53,0.999936,0.00340089,1.0,0.5,2.0,0.36,2.0
2.2e-07,5e-07,6.6e-07,2.8e-07,0.9,0.5,1.4,0.4,0.0167136,22.8672,9625.98,0.99998,0.000626238,0.22,0.5,0.66,0.28,3.0
2.2e-07,5e-07,1e-05,5e-07,0.9,0.59,1.49,0.31,0.0175821,13.8957,1176.11,0.999753,0.0122668,0.22,0.5,10.0,0.5,45.45454545454545
1e-06,5e-07,6.6e-07,2.8e-07,0.9,0.54,1.44,0.36,0.017809,21.1242,6427.23,0.999967,0.00173378,1.0,0.5,0.66,0.28,0.66
2.2e-07,3.6e-07,2e-05,3.6e-07,0.9,0.54,1.44,0.36,0.0200785,12.339,806.661,0.999407,0.0247476,0.22,0.36,20.0,0.36,90.9090909090909
1e-06,3.6e-07,1e-05,3.6e-07,0.9,0.55,1.45,0.35,0.0202228,14.7437,1440.48,0.999749,0.0133816,1.0,0.36,10.0,0.36,10.000000000000002
1e-06,2.8e-07,2e-05,2.8e-07,0.9,0.475,1.375,0.425,0.020778,12.4882,836.58,0.99938,0.0258523,1.0,0.28,20.0,0.28,20.000000000000004
1e-06,3.6e-07,2e-06,2.8e-07,0.9,0.5,1.4,0.4,0.0208951,20.2148,5203.46,0.999948,0.00340592,1.0,0.36,2.0,0.28,2.0
1e-06,3.6e-07,2e-05,5e-07,0.9,0.575,1.475,0.325,0.0215419,12.6164,863.154,0.999379,0.0258419,1.0,0.36,20.0,0.5,20.000000000000004
2.2e-07,5e-07,2e-06,3.6e-07,0.9,0.54,1.44,0.36,0.0218789,21.8368,7582.14,0.999964,0.00230256,0.22,0.5,2.0,0.36,9.09090909090909
