VSG ID_A JD_mA_per_um
0.35 4.98426E-11 2.26557E-07
0.40 1.80023E-10 8.18289E-07
0.45 6.43763E-10 2.92619E-06
0.50 2.20918E-09 1.00417E-05
0.55 7.1346E-09 3.243E-05
0.60 2.14343E-08 9.74288E-05
0.65 5.87075E-08 0.000266852
0.70 1.41401E-07 0.000642733
0.75 2.9302E-07 0.00133191
0.80 5.27335E-07 0.00239698
0.90 1.24544E-06 0.00566109
1.00 2.2586E-06 0.0102663
1.10 3.5253E-06 0.0160241
1.20 5.01587E-06 0.0227994
