W_m L_m VSG NFmin_dB NF_dB Rn SOpt_real SOpt_imag
1e-6 0.50e-6 0.50 0.00611186 10.1801 471.172 0.999849 0.00184972
1e-6 0.50e-6 0.55 0.00952045 13.6444 1107.19 0.999899 0.00196927
1e-6 0.50e-6 0.60 0.0146719 17.0765 2500.47 0.99993 0.00212434
1e-6 0.50e-6 0.65 0.0223308 20.3924 5422.83 0.99995 0.00229703
1e-6 0.50e-6 0.70 0.0329786 23.4514 11018.9 0.999963 0.002462
1e-6 0.50e-6 0.75 0.0457799 26.0142 19920.5 0.99997 0.00260006
1e-6 0.50e-6 0.80 0.0574922 27.7686 29860.7 0.999974 0.00270494
1e-6 0.50e-6 0.90 0.0652865 28.5928 36111.9 0.999975 0.00283092
1e-6 0.50e-6 1.00 0.0621425 28.0207 31648.4 0.999973 0.00289075
1e-6 0.50e-6 1.10 0.0585747 27.4225 27569.7 0.999971 0.00292274
1e-6 0.50e-6 1.20 0.0556466 26.9182 24541.6 0.99997 0.00294281
5e-6 0.28e-6 0.35 0.00183295 2.60132 41.0123 0.999469 0.00581184
5e-6 0.28e-6 0.40 0.00310838 5.196 115.412 0.999672 0.00596147
5e-6 0.28e-6 0.45 0.00529533 8.73469 323.625 0.999792 0.00619832
5e-6 0.28e-6 0.50 0.00885253 12.5808 855.833 0.999859 0.00654942
5e-6 0.28e-6 0.55 0.014492 16.3708 2117.94 0.999897 0.00700518
5e-6 0.28e-6 0.60 0.0230201 19.9124 4850.14 0.999917 0.00751269
5e-6 0.28e-6 0.65 0.0339297 22.8336 9551.05 0.999927 0.00799792
5e-6 0.28e-6 0.70 0.0414057 24.1891 13068 0.999928 0.00840481
5e-6 0.28e-6 0.75 0.0389762 23.3838 10848 0.999921 0.00871476
5e-6 0.28e-6 0.80 0.0328437 21.7012 7347.36 0.999909 0.00893783
5e-6 0.28e-6 0.90 0.0254204 19.2522 4159.03 0.999887 0.00920056
5e-6 0.28e-6 1.00 0.0225371 18.0951 3174.57 0.999875 0.0093306
5e-6 0.28e-6 1.10 0.0211384 17.4708 2742.77 0.999867 0.00940712
5e-6 0.28e-6 1.20 0.0203079 17.0741 2498.98 0.999862 0.00946027
5e-6 0.36e-6 0.35 0.00107661 1.09414 14.3254 0.999113 0.00670632
5e-6 0.36e-6 0.40 0.0016285 2.15077 32.0437 0.999392 0.00683788
5e-6 0.36e-6 0.45 0.00269041 4.30378 84.6928 0.99961 0.00703851
5e-6 0.36e-6 0.50 0.00449396 7.38995 224.132 0.999742 0.00735413
5e-6 0.36e-6 0.55 0.00742477 10.8767 561.839 0.999817 0.00781449
5e-6 0.36e-6 0.60 0.0121302 14.4099 1330.24 0.99986 0.00840105
5e-6 0.36e-6 0.65 0.0194073 17.7975 2960.99 0.999884 0.0090414
5e-6 0.36e-6 0.70 0.0293814 20.7779 5930.71 0.999896 0.00964223
5e-6 0.36e-6 0.75 0.039265 22.7981 9472.79 0.999901 0.0101383
5e-6 0.36e-6 0.80 0.0429095 23.2038 10405.4 0.999897 0.0105119
5e-6 0.36e-6 0.90 0.0364312 21.3575 6784.56 0.999878 0.0109594
5e-6 0.36e-6 1.00 0.0314901 19.8876 4822.09 0.999862 0.0111735
5e-6 0.36e-6 1.10 0.0289685 19.0465 3964.26 0.999852 0.0112901
5e-6 0.36e-6 1.20 0.0274252 18.4922 3483.22 0.999845 0.0113651
5e-6 0.50e-6 0.35 0.000852466 0.720267 9.0195 0.998877 0.00840697
5e-6 0.50e-6 0.40 0.00111278 1.13716 14.9657 0.999108 0.00853246
5e-6 0.50e-6 0.45 0.00169488 2.2182 33.3271 0.999376 0.00875694
5e-6 0.50e-6 0.50 0.00274224 4.20071 81.5332 0.999571 0.00911451
5e-6 0.50e-6 0.55 0.00448643 6.89985 194.876 0.999688 0.00965714
5e-6 0.50e-6 0.60 0.00737657 9.96304 445.75 0.999756 0.0103904
5e-6 0.50e-6 0.65 0.0121035 13.1372 979.63 0.999795 0.0112444
5e-6 0.50e-6 0.70 0.0192943 16.2027 2035.58 0.999818 0.0120956
5e-6 0.50e-6 0.75 0.0287517 18.8838 3816.64 0.999831 0.0128331
5e-6 0.50e-6 0.80 0.0384094 20.8263 5997.5 0.999836 0.0134065
5e-6 0.50e-6 0.90 0.0465123 21.8234 7558.26 0.99983 0.0141058
5e-6 0.50e-6 1.00 0.044647 21.1529 6469.91 0.999816 0.0144373
5e-6 0.50e-6 1.10 0.0422014 20.489 5545.62 0.999806 0.014611
5e-6 0.50e-6 1.20 0.0402312 19.9576 4901.11 0.999797 0.0147176
10e-6 0.28e-6 0.35 0.00131146 1.42992 19.4957 0.999159 0.0116029
10e-6 0.28e-6 0.40 0.00224231 3.2148 54.8194 0.999458 0.0118945
10e-6 0.28e-6 0.45 0.0038759 6.11236 154.265 0.999634 0.0123556
10e-6 0.28e-6 0.50 0.00661943 9.63573 409.755 0.999729 0.0130435
10e-6 0.28e-6 0.55 0.0111364 13.2978 1018.38 0.999777 0.0139444
