VDS_V W_m L_m VGS_V NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag
5.0 0.30e-6 0.60e-6 0.82 0.00112445 23.7123 11706.3 0.999845 0.000237014
5.0 0.30e-6 0.60e-6 0.825 0.00112429 23.7485 11804.5 0.999845 0.00023743
5.0 0.30e-6 0.60e-6 0.83 0.00112411 23.7839 11901.6 0.999845 0.000237827
5.0 0.30e-6 0.60e-6 0.835 0.00112392 23.8186 11997.4 0.999845 0.000238204
5.0 0.30e-6 0.60e-6 0.84 0.00112371 23.8525 12092 0.999845 0.000238564
5.0 0.30e-6 0.60e-6 0.845 0.00112349 23.8858 12185.2 0.999845 0.000238908
5.0 0.30e-6 0.60e-6 0.85 0.00112326 23.9183 12277.1 0.999845 0.000239237
5.0 0.30e-6 0.60e-6 0.855 0.00112301 23.95 12367.7 0.999844 0.000239552
5.0 0.30e-6 0.60e-6 0.86 0.00112275 23.9811 12456.8 0.999844 0.000239854
5.0 0.30e-6 0.60e-6 0.865 0.00112247 24.0115 12544.5 0.999844 0.000240144
5.0 0.30e-6 0.60e-6 0.87 0.00112218 24.0411 12630.9 0.999844 0.000240422
5.0 0.30e-6 0.60e-6 0.875 0.00112188 24.0701 12715.8 0.999844 0.000240689
5.0 0.30e-6 0.60e-6 0.88 0.00112156 24.0984 12799.2 0.999844 0.000240946
5.0 0.30e-6 0.60e-6 0.885 0.00112123 24.126 12881.3 0.999844 0.000241194
5.0 0.30e-6 0.60e-6 0.89 0.00112088 24.153 12961.9 0.999843 0.000241433
5.0 0.30e-6 0.60e-6 0.895 0.00112052 24.1794 13041.1 0.999843 0.000241664
5.0 0.30e-6 0.60e-6 0.9 0.00112015 24.2051 13118.9 0.999843 0.000241888
5.0 0.30e-6 0.60e-6 0.905 0.00111977 24.2302 13195.2 0.999843 0.000242103
5.0 0.30e-6 0.60e-6 0.91 0.00111938 24.2547 13270.2 0.999843 0.000242312
5.0 0.30e-6 0.60e-6 0.915 0.00111898 24.2787 13343.8 0.999843 0.000242515
5.0 0.30e-6 0.60e-6 0.92 0.00111856 24.302 13416 0.999843 0.000242712
5.0 0.30e-6 0.60e-6 0.925 0.00111814 24.3248 13486.9 0.999842 0.000242902
5.0 0.30e-6 0.60e-6 0.93 0.00111771 24.3471 13556.4 0.999842 0.000243088
5.0 0.30e-6 0.60e-6 0.935 0.00111727 24.3688 13624.6 0.999842 0.000243268
5.0 0.30e-6 0.60e-6 0.94 0.00111682 24.39 13691.6 0.999842 0.000243443
5.0 0.30e-6 0.60e-6 0.945 0.00111637 24.4107 13757.2 0.999842 0.000243614
5.0 0.30e-6 0.60e-6 0.95 0.00111591 24.4309 13821.6 0.999842 0.000243781
5.0 0.30e-6 0.60e-6 0.955 0.00111544 24.4506 13884.8 0.999842 0.000243943
5.0 0.30e-6 0.60e-6 0.96 0.00111497 24.4699 13946.8 0.999842 0.000244101
5.0 0.30e-6 0.60e-6 0.965 0.0011145 24.4887 14007.5 0.999841 0.000244256
5.0 0.30e-6 0.60e-6 0.97 0.00111402 24.5071 14067.2 0.999841 0.000244407
5.0 0.30e-6 0.60e-6 0.975 0.00111353 24.525 14125.7 0.999841 0.000244555
5.0 0.30e-6 0.60e-6 0.98 0.00111305 24.5426 14183 0.999841 0.000244699
5.0 0.30e-6 0.60e-6 0.985 0.00111256 24.5597 14239.3 0.999841 0.000244841
5.0 0.30e-6 0.60e-6 0.99 0.00111207 24.5765 14294.5 0.999841 0.000244979
5.0 0.30e-6 0.60e-6 0.995 0.00111157 24.5929 14348.7 0.999841 0.000245115
5.0 0.30e-6 0.60e-6 1 0.00111108 24.6089 14401.9 0.99984 0.000245248
5.0 0.30e-6 0.60e-6 1.005 0.00111058 24.6245 14454.1 0.99984 0.000245378
5.0 0.30e-6 0.60e-6 1.01 0.00111009 24.6398 14505.3 0.99984 0.000245506
5.0 0.30e-6 0.60e-6 1.015 0.00110959 24.6548 14555.6 0.99984 0.000245631
5.0 0.30e-6 0.60e-6 1.02 0.0011091 24.6695 14605 0.99984 0.000245754
5.0 0.30e-6 0.60e-6 1.025 0.0011086 24.6838 14653.5 0.99984 0.000245875
5.0 0.30e-6 0.60e-6 1.03 0.00110811 24.6978 14701.1 0.99984 0.000245994
5.0 0.30e-6 0.60e-6 1.035 0.00110762 24.7116 14747.8 0.99984 0.00024611
5.0 0.30e-6 0.60e-6 1.04 0.00110713 24.725 14793.8 0.999839 0.000246225
5.0 0.30e-6 0.60e-6 1.045 0.00110664 24.7382 14838.9 0.999839 0.000246338
5.0 0.30e-6 0.60e-6 1.05 0.00110615 24.7511 14883.2 0.999839 0.000246448
5.0 0.30e-6 0.60e-6 1.055 0.00110567 24.7638 14926.8 0.999839 0.000246557
5.0 0.30e-6 0.60e-6 1.06 0.00110519 24.7762 14969.7 0.999839 0.000246664
5.0 0.30e-6 0.60e-6 1.065 0.00110471 24.7884 15011.8 0.999839 0.00024677
5.0 0.30e-6 0.60e-6 1.07 0.00110424 24.8003 15053.3 0.999839 0.000246873
5.0 0.30e-6 0.60e-6 1.075 0.00110377 24.812 15094 0.999839 0.000246976
5.0 0.30e-6 0.60e-6 1.08 0.00110331 24.8235 15134.1 0.999838 0.000247076
5.0 0.30e-6 0.60e-6 1.085 0.00110284 24.8348 15173.6 0.999838 0.000247175
5.0 0.30e-6 0.60e-6 1.09 0.00110239 24.8458 15212.4 0.999838 0.000247273
5.0 0.30e-6 0.60e-6 1.095 0.00110193 24.8567 15250.7 0.999838 0.000247369
5.0 0.30e-6 0.60e-6 1.1 0.00110148 24.8674 15288.3 0.999838 0.000247463
5.0 0.30e-6 0.60e-6 1.105 0.00110104 24.8779 15325.4 0.999838 0.000247556
5.0 0.30e-6 0.60e-6 1.11 0.0011006 24.8882 15362 0.999838 0.000247648
5.0 0.30e-6 0.60e-6 1.115 0.00110017 24.8983 15398 0.999838 0.000247739
5.0 0.30e-6 0.60e-6 1.12 0.00109974 24.9083 15433.5 0.999837 0.000247828
5.0 0.30e-6 0.60e-6 1.125 0.00109932 24.9181 15468.4 0.999837 0.000247916
5.0 0.30e-6 0.60e-6 1.13 0.0010989 24.9277 15502.9 0.999837 0.000248002
5.0 0.30e-6 0.60e-6 1.135 0.00109849 24.9372 15536.9 0.999837 0.000248088
5.0 0.30e-6 0.60e-6 1.14 0.00109808 24.9465 15570.5 0.999837 0.000248172
5.0 0.30e-6 0.60e-6 1.145 0.00109768 24.9557 15603.6 0.999837 0.000248255
5.0 0.30e-6 0.60e-6 1.15 0.00109728 24.9648 15636.3 0.999837 0.000248337
5.0 0.30e-6 0.60e-6 1.155 0.00109689 24.9737 15668.5 0.999837 0.000248418
5.0 0.30e-6 0.60e-6 1.16 0.00109651 24.9825 15700.4 0.999837 0.000248498
5.0 0.30e-6 0.60e-6 1.165 0.00109613 24.9912 15731.8 0.999836 0.000248576
5.0 0.30e-6 0.60e-6 1.17 0.00109576 24.9997 15762.9 0.999836 0.000248654
5.0 0.30e-6 0.60e-6 1.175 0.00109539 25.0081 15793.6 0.999836 0.00024873
5.0 0.30e-6 0.60e-6 1.18 0.00109503 25.0164 15824 0.999836 0.000248805
5.0 0.30e-6 0.60e-6 1.185 0.00109468 25.0246 15853.9 0.999836 0.00024888
5.0 0.30e-6 0.60e-6 1.19 0.00109433 25.0327 15883.6 0.999836 0.000248953
5.0 0.30e-6 0.60e-6 1.195 0.00109399 25.0407 15912.9 0.999836 0.000249026
5.0 0.30e-6 0.60e-6 1.2 0.00109366 25.0486 15941.9 0.999836 0.000249097
5.0 0.30e-6 0.60e-6 1.205 0.00109333 25.0564 15970.6 0.999836 0.000249168
5.0 0.30e-6 0.60e-6 1.21 0.00109301 25.0641 15999 0.999836 0.000249237
5.0 0.30e-6 0.60e-6 1.215 0.00109269 25.0717 16027.1 0.999836 0.000249306
5.0 0.30e-6 0.60e-6 1.22 0.00109238 25.0792 16054.9 0.999835 0.000249373
5.0 0.30e-6 0.60e-6 1.225 0.00109208 25.0866 16082.5 0.999835 0.00024944
5.0 0.30e-6 0.60e-6 1.23 0.00109178 25.0939 16109.8 0.999835 0.000249506
5.0 0.30e-6 0.60e-6 1.235 0.00109149 25.1012 16136.8 0.999835 0.000249571
5.0 0.30e-6 0.60e-6 1.24 0.00109121 25.1084 16163.6 0.999835 0.000249635
5.0 0.30e-6 0.60e-6 1.245 0.00109093 25.1155 16190.1 0.999835 0.000249698
5.0 0.30e-6 0.60e-6 1.25 0.00109066 25.1225 16216.5 0.999835 0.000249761
5.0 0.30e-6 0.60e-6 1.255 0.0010904 25.1295 16242.5 0.999835 0.000249822
5.0 0.30e-6 0.60e-6 1.26 0.00109014 25.1364 16268.4 0.999835 0.000249883
5.0 0.30e-6 0.60e-6 1.265 0.00108989 25.1432 16294.1 0.999835 0.000249943
5.0 0.30e-6 0.60e-6 1.27 0.00108964 25.1499 16319.5 0.999835 0.000250002
5.0 0.30e-6 0.60e-6 1.275 0.0010894 25.1566 16344.8 0.999835 0.00025006
5.0 0.30e-6 0.60e-6 1.28 0.00108917 25.1633 16369.8 0.999834 0.000250118
5.0 0.30e-6 0.60e-6 1.285 0.00108894 25.1699 16394.7 0.999834 0.000250175
5.0 0.30e-6 0.60e-6 1.29 0.00108872 25.1764 16419.4 0.999834 0.000250231
5.0 0.30e-6 0.60e-6 1.295 0.00108851 25.1828 16443.9 0.999834 0.000250286
5.0 0.30e-6 0.60e-6 1.3 0.0010883 25.1892 16468.3 0.999834 0.00025034
5.0 0.30e-6 0.60e-6 1.305 0.0010881 25.1956 16492.5 0.999834 0.000250394
5.0 0.30e-6 0.60e-6 1.31 0.00108791 25.2019 16516.5 0.999834 0.000250447
5.0 0.30e-6 0.60e-6 1.315 0.00108772 25.2082 16540.4 0.999834 0.000250499
5.0 0.30e-6 0.60e-6 1.32 0.00108754 25.2144 16564.1 0.999834 0.000250551
5.0 0.30e-6 0.60e-6 1.325 0.00108736 25.2205 16587.7 0.999834 0.000250602
5.0 0.30e-6 0.60e-6 1.33 0.00108719 25.2266 16611.2 0.999834 0.000250652
5.0 0.30e-6 0.60e-6 1.335 0.00108703 25.2327 16634.5 0.999834 0.000250701
5.0 0.30e-6 0.60e-6 1.34 0.00108687 25.2387 16657.7 0.999834 0.00025075
5.0 0.30e-6 0.60e-6 1.345 0.00108672 25.2447 16680.7 0.999834 0.000250798
5.0 0.30e-6 0.60e-6 1.35 0.00108657 25.2507 16703.7 0.999834 0.000250845
5.0 0.30e-6 0.60e-6 1.355 0.00108644 25.2566 16726.5 0.999833 0.000250891
5.0 0.30e-6 0.60e-6 1.36 0.0010863 25.2625 16749.2 0.999833 0.000250937
5.0 0.30e-6 0.60e-6 1.365 0.00108618 25.2683 16771.8 0.999833 0.000250982
5.0 0.30e-6 0.60e-6 1.37 0.00108606 25.2741 16794.3 0.999833 0.000251027
5.0 0.30e-6 0.60e-6 1.375 0.00108594 25.2799 16816.7 0.999833 0.000251071
5.0 0.30e-6 0.60e-6 1.38 0.00108584 25.2856 16839 0.999833 0.000251114
5.0 0.30e-6 0.60e-6 1.385 0.00108573 25.2913 16861.2 0.999833 0.000251157
5.0 0.30e-6 0.60e-6 1.39 0.00108564 25.297 16883.4 0.999833 0.000251199
5.0 0.30e-6 0.60e-6 1.395 0.00108555 25.3027 16905.4 0.999833 0.00025124
5.0 0.30e-6 0.60e-6 1.4 0.00108546 25.3083 16927.3 0.999833 0.00025128
5.0 0.30e-6 0.60e-6 1.405 0.00108539 25.3139 16949.2 0.999833 0.00025132
5.0 0.30e-6 0.60e-6 1.41 0.00108531 25.3194 16971 0.999833 0.00025136
5.0 0.30e-6 0.60e-6 1.415 0.00108525 25.325 16992.7 0.999833 0.000251398
5.0 0.30e-6 0.60e-6 1.42 0.00108519 25.3305 17014.4 0.999833 0.000251437
5.0 0.30e-6 0.60e-6 1.425 0.00108513 25.336 17035.9 0.999833 0.000251474
5.0 0.30e-6 0.60e-6 1.43 0.00108508 25.3414 17057.5 0.999833 0.000251511
5.0 0.30e-6 0.60e-6 1.435 0.00108504 25.3469 17078.9 0.999833 0.000251547
5.0 0.30e-6 0.60e-6 1.44 0.001085 25.3523 17100.3 0.999833 0.000251583
5.0 0.30e-6 0.60e-6 1.445 0.00108497 25.3577 17121.6 0.999833 0.000251618
5.0 0.30e-6 0.60e-6 1.45 0.00108495 25.3631 17142.9 0.999833 0.000251652
5.0 0.30e-6 0.60e-6 1.455 0.00108493 25.3684 17164.1 0.999833 0.000251686
5.0 0.30e-6 0.60e-6 1.46 0.00108491 25.3738 17185.3 0.999833 0.000251719
5.0 0.30e-6 0.60e-6 1.465 0.0010849 25.3791 17206.5 0.999833 0.000251751
5.0 0.30e-6 0.60e-6 1.47 0.0010849 25.3844 17227.5 0.999832 0.000251783
5.0 0.30e-6 0.60e-6 1.475 0.0010849 25.3897 17248.6 0.999832 0.000251814
5.0 0.30e-6 0.60e-6 1.48 0.00108491 25.395 17269.6 0.999832 0.000251845
5.0 0.30e-6 0.60e-6 1.485 0.00108493 25.4002 17290.6 0.999832 0.000251875
5.0 0.30e-6 0.60e-6 1.49 0.00108494 25.4054 17311.5 0.999832 0.000251905
5.0 0.30e-6 0.60e-6 1.495 0.00108497 25.4107 17332.4 0.999832 0.000251934
5.0 0.30e-6 0.60e-6 1.5 0.001085 25.4159 17353.3 0.999832 0.000251962
5.0 0.30e-6 0.60e-6 1.505 0.00108504 25.4211 17374.1 0.999832 0.00025199
5.0 0.30e-6 0.60e-6 1.51 0.00108508 25.4263 17394.9 0.999832 0.000252017
5.0 0.30e-6 0.60e-6 1.515 0.00108512 25.4314 17415.7 0.999832 0.000252043
5.0 0.30e-6 0.60e-6 1.52 0.00108518 25.4366 17436.5 0.999832 0.000252069
5.0 0.30e-6 0.60e-6 1.525 0.00108523 25.4417 17457.2 0.999832 0.000252095
5.0 0.30e-6 0.60e-6 1.53 0.0010853 25.4469 17477.9 0.999832 0.000252119
5.0 0.30e-6 0.60e-6 1.535 0.00108537 25.452 17498.7 0.999832 0.000252144
5.0 0.30e-6 0.60e-6 1.54 0.00108544 25.4571 17519.4 0.999832 0.000252167
5.0 0.30e-6 0.60e-6 1.545 0.00108552 25.4622 17540 0.999832 0.00025219
5.0 0.30e-6 0.60e-6 1.55 0.0010856 25.4673 17560.7 0.999832 0.000252213
5.0 0.30e-6 0.60e-6 1.555 0.00108569 25.4724 17581.4 0.999832 0.000252234
5.0 0.30e-6 0.60e-6 1.56 0.00108579 25.4775 17602 0.999832 0.000252256
5.0 0.30e-6 0.60e-6 1.565 0.00108589 25.4826 17622.7 0.999832 0.000252276
5.0 0.30e-6 0.60e-6 1.57 0.001086 25.4877 17643.3 0.999832 0.000252296
5.0 0.30e-6 0.60e-6 1.575 0.00108611 25.4927 17664 0.999832 0.000252316
5.0 0.30e-6 0.60e-6 1.58 0.00108622 25.4978 17684.6 0.999832 0.000252334
5.0 0.30e-6 0.60e-6 1.585 0.00108634 25.5029 17705.3 0.999832 0.000252353
5.0 0.30e-6 0.60e-6 1.59 0.00108647 25.5079 17725.9 0.999832 0.00025237
5.0 0.30e-6 0.60e-6 1.595 0.0010866 25.5129 17746.6 0.999832 0.000252387
5.0 0.30e-6 0.60e-6 1.6 0.00108674 25.518 17767.3 0.999832 0.000252404
5.0 0.30e-6 0.60e-6 1.605 0.00108688 25.523 17787.9 0.999832 0.00025242
5.0 0.30e-6 0.60e-6 1.61 0.00108703 25.5281 17808.6 0.999832 0.000252435
5.0 0.30e-6 0.60e-6 1.615 0.00108718 25.5331 17829.3 0.999832 0.000252449
5.0 0.30e-6 0.60e-6 1.62 0.00108734 25.5381 17850 0.999832 0.000252463
5.0 0.30e-6 0.60e-6 1.625 0.0010875 25.5431 17870.7 0.999832 0.000252477
5.0 0.30e-6 0.60e-6 1.63 0.00108767 25.5482 17891.5 0.999832 0.00025249
5.0 0.30e-6 0.60e-6 1.635 0.00108784 25.5532 17912.2 0.999832 0.000252502
5.0 0.30e-6 0.60e-6 1.64 0.00108801 25.5582 17933 0.999832 0.000252513
5.0 0.30e-6 0.60e-6 1.645 0.0010882 25.5632 17953.8 0.999832 0.000252524
5.0 0.30e-6 0.60e-6 1.65 0.00108838 25.5682 17974.6 0.999832 0.000252534
5.0 0.30e-6 0.60e-6 1.655 0.00108857 25.5733 17995.5 0.999832 0.000252544
5.0 0.30e-6 0.60e-6 1.66 0.00108877 25.5783 18016.4 0.999832 0.000252553
5.0 0.30e-6 0.60e-6 1.665 0.00108897 25.5833 18037.3 0.999832 0.000252562
5.0 0.30e-6 0.60e-6 1.67 0.00108918 25.5883 18058.2 0.999832 0.000252569
5.0 0.30e-6 0.60e-6 1.675 0.00108939 25.5934 18079.1 0.999832 0.000252576
5.0 0.30e-6 0.60e-6 1.68 0.00108961 25.5984 18100.1 0.999832 0.000252583
5.0 0.30e-6 0.60e-6 1.685 0.00108983 25.6034 18121.2 0.999832 0.000252589
5.0 0.30e-6 0.60e-6 1.69 0.00109005 25.6084 18142.2 0.999832 0.000252594
5.0 0.30e-6 0.60e-6 1.695 0.00109028 25.6135 18163.3 0.999832 0.000252598
5.0 0.30e-6 0.60e-6 1.7 0.00109052 25.6185 18184.5 0.999832 0.000252602
5.0 0.30e-6 0.60e-6 1.705 0.00109076 25.6236 18205.7 0.999832 0.000252605
5.0 0.30e-6 0.60e-6 1.71 0.001091 25.6286 18226.9 0.999832 0.000252608
5.0 0.30e-6 0.60e-6 1.715 0.00109125 25.6336 18248.2 0.999832 0.00025261
5.0 0.30e-6 0.60e-6 1.72 0.0010915 25.6387 18269.5 0.999832 0.000252611
5.0 0.30e-6 0.60e-6 1.725 0.00109176 25.6438 18290.8 0.999833 0.000252611
5.0 0.30e-6 0.60e-6 1.73 0.00109202 25.6488 18312.2 0.999833 0.000252611
5.0 0.30e-6 0.60e-6 1.735 0.00109229 25.6539 18333.7 0.999833 0.00025261
5.0 0.30e-6 0.60e-6 1.74 0.00109256 25.659 18355.2 0.999833 0.000252608
5.0 0.30e-6 0.60e-6 1.745 0.00109284 25.6641 18376.8 0.999833 0.000252606
5.0 0.30e-6 0.60e-6 1.75 0.00109312 25.6692 18398.4 0.999833 0.000252602
5.0 0.30e-6 0.60e-6 1.755 0.00109341 25.6743 18420.1 0.999833 0.000252599
5.0 0.30e-6 0.60e-6 1.76 0.0010937 25.6794 18441.8 0.999833 0.000252594
5.0 0.30e-6 0.60e-6 1.765 0.00109399 25.6845 18463.6 0.999833 0.000252589
5.0 0.30e-6 0.60e-6 1.77 0.00109429 25.6896 18485.5 0.999833 0.000252582
5.0 0.30e-6 0.60e-6 1.775 0.00109459 25.6948 18507.4 0.999833 0.000252575
5.0 0.30e-6 0.60e-6 1.78 0.0010949 25.6999 18529.4 0.999833 0.000252568
5.0 0.30e-6 0.60e-6 1.785 0.00109521 25.7051 18551.5 0.999833 0.000252559
