W_m L_m VSG ID_A JD_mA_per_um
5e-6 0.36e-6 0.40 1.70458E-10 3.40916E-08
5e-6 0.36e-6 0.45 6.41321E-10 1.28264E-07
5e-6 0.36e-6 0.50 2.38792E-09 4.77584E-07
5e-6 0.36e-6 0.55 8.65336E-09 1.73067E-06
5e-6 0.36e-6 0.60 2.99745E-08 5.9949E-06
5e-6 0.36e-6 0.65 9.7671E-08 1.95342E-05
5e-6 0.36e-6 0.70 2.96416E-07 5.92832E-05
5e-6 0.36e-6 0.75 8.22952E-07 0.00016459
5e-6 0.36e-6 0.80 2.01697E-06 0.000403395
5e-6 0.36e-6 0.90 7.79056E-06 0.00155811
5e-6 0.36e-6 1.00 1.88296E-05 0.00376593
5e-6 0.36e-6 1.10 3.46095E-05 0.0069219
5e-6 0.36e-6 1.20 5.44459E-05 0.0108892
5e-6 0.50e-6 0.35 1.72848E-11 3.45695E-09
5e-6 0.50e-6 0.40 6.13169E-11 1.22634E-08
5e-6 0.50e-6 0.45 2.29098E-10 4.58197E-08
5e-6 0.50e-6 0.50 8.59139E-10 1.71828E-07
5e-6 0.50e-6 0.55 3.16293E-09 6.32585E-07
5e-6 0.50e-6 0.60 1.1222E-08 2.24439E-06
5e-6 0.50e-6 0.65 3.76942E-08 7.53884E-06
5e-6 0.50e-6 0.70 1.18481E-07 2.36962E-05
5e-6 0.50e-6 0.75 3.44548E-07 6.89095E-05
5e-6 0.50e-6 0.80 8.99501E-07 0.0001799
5e-6 0.50e-6 0.90 3.97307E-06 0.000794613
5e-6 0.50e-6 1.00 1.0534E-05 0.00210681
5e-6 0.50e-6 1.10 2.04807E-05 0.00409613
5e-6 0.50e-6 1.20 3.34237E-05 0.00668475
10e-6 0.28e-6 0.35 4.22419E-10 4.22419E-08
10e-6 0.28e-6 0.40 1.59283E-09 1.59283E-07
10e-6 0.28e-6 0.45 5.93344E-09 5.93344E-07
10e-6 0.28e-6 0.50 2.15465E-08 2.15465E-06
10e-6 0.28e-6 0.55 7.49806E-08 7.49806E-06
10e-6 0.28e-6 0.60 2.45679E-07 2.45679E-05
10e-6 0.28e-6 0.65 7.48811E-07 7.48811E-05
10e-6 0.28e-6 0.70 2.09157E-06 0.000209157
10e-6 0.28e-6 0.75 5.18818E-06 0.000518818
10e-6 0.28e-6 0.80 1.11226E-05 0.00111226
10e-6 0.28e-6 0.90 3.39162E-05 0.00339162
10e-6 0.28e-6 1.00 7.07809E-05 0.00707809
10e-6 0.28e-6 1.10 0.000119293 0.0119293
10e-6 0.28e-6 1.20 0.000177486 0.0177486
10e-6 0.36e-6 0.35 8.5106E-11 8.5106E-09
10e-6 0.36e-6 0.40 3.20499E-10 3.20499E-08
10e-6 0.36e-6 0.45 1.21096E-09 1.21096E-07
10e-6 0.36e-6 0.50 4.51809E-09 4.51809E-07
10e-6 0.36e-6 0.55 1.64068E-08 1.64068E-06
10e-6 0.36e-6 0.60 5.69901E-08 5.69901E-06
10e-6 0.36e-6 0.65 1.86326E-07 1.86326E-05
10e-6 0.36e-6 0.70 5.67631E-07 5.67631E-05
10e-6 0.36e-6 0.75 1.58414E-06 0.000158414
10e-6 0.36e-6 0.80 3.90984E-06 0.000390984
10e-6 0.36e-6 0.90 1.53139E-05 0.00153139
10e-6 0.36e-6 1.00 3.73394E-05 0.00373394
10e-6 0.36e-6 1.10 6.89564E-05 0.00689564
10e-6 0.36e-6 1.20 0.000108766 0.0108766
10e-6 0.50e-6 0.35 3.15302E-11 3.15302E-09
10e-6 0.50e-6 0.40 1.16077E-10 1.16077E-08
10e-6 0.50e-6 0.45 4.38385E-10 4.38385E-08
10e-6 0.50e-6 0.50 1.64961E-09 1.64961E-07
10e-6 0.50e-6 0.55 6.08442E-09 6.08442E-07
10e-6 0.50e-6 0.60 2.16305E-08 2.16305E-06
10e-6 0.50e-6 0.65 7.28341E-08 7.28341E-06
10e-6 0.50e-6 0.70 2.29555E-07 2.29555E-05
10e-6 0.50e-6 0.75 6.69827E-07 6.69827E-05
10e-6 0.50e-6 0.80 1.7572E-06 0.00017572
10e-6 0.50e-6 0.90 7.84846E-06 0.000784846
10e-6 0.50e-6 1.00 2.09682E-05 0.00209682
10e-6 0.50e-6 1.10 4.09367E-05 0.00409367
10e-6 0.50e-6 1.20 6.69608E-05 0.00669608
