W_m L_m VSG NFmin_dB NF_dB Rn SOpt_real SOpt_imag
1e-6 0.50e-6 0.40 0.000375252 4.38266 87.1626 0.99995 0.00105453
1e-6 0.50e-6 0.45 0.000687738 6.90866 195.378 0.999959 0.00110587
1e-6 0.50e-6 0.50 0.00134732 10.1798 471.131 0.999966 0.00118695
1e-6 0.50e-6 0.55 0.00266947 13.644 1107.09 0.999971 0.00130643
1e-6 0.50e-6 0.60 0.00516322 17.0761 2500.25 0.999975 0.00146146
1e-6 0.50e-6 0.65 0.0094673 20.392 5422.36 0.999979 0.00163413
1e-6 0.50e-6 0.70 0.0160138 23.451 11018 0.999982 0.0017991
1e-6 0.50e-6 0.75 0.0243565 26.0138 19918.7 0.999984 0.00193716
1e-6 0.50e-6 0.80 0.0324517 27.7682 29858.1 0.999985 0.00204204
1e-6 0.50e-6 0.90 0.0392286 28.5924 36108.8 0.999985 0.00216803
1e-6 0.50e-6 1.00 0.0384059 28.0203 31645.6 0.999984 0.00222787
1e-6 0.50e-6 1.10 0.036769 27.4221 27567.2 0.999982 0.00225986
1e-6 0.50e-6 1.20 0.0352972 26.9178 24539.5 0.999981 0.00227994
5e-6 0.28e-6 0.35 0.000517532 2.60114 41.0087 0.999841 0.00515142
5e-6 0.28e-6 0.40 0.000980384 5.19573 115.402 0.999888 0.00530016
5e-6 0.28e-6 0.45 0.00190855 8.73435 323.596 0.999917 0.00553649
5e-6 0.28e-6 0.50 0.00372102 12.5805 855.758 0.999933 0.00588732
5e-6 0.28e-6 0.55 0.00709549 16.3704 2117.75 0.999941 0.00634295
5e-6 0.28e-6 0.60 0.0128164 19.9121 4849.72 0.999946 0.0068504
5e-6 0.28e-6 0.65 0.0207633 22.8332 9550.21 0.999948 0.00733562
5e-6 0.28e-6 0.70 0.0270034 24.1887 13066.9 0.999946 0.00774253
5e-6 0.28e-6 0.75 0.0264836 23.3835 10847 0.999939 0.00805252
5e-6 0.28e-6 0.80 0.0229108 21.7008 7346.71 0.99993 0.00827564
5e-6 0.28e-6 0.90 0.0182415 19.2518 4158.66 0.999913 0.00853845
5e-6 0.28e-6 1.00 0.0163915 18.0947 3174.29 0.999903 0.00866853
5e-6 0.28e-6 1.10 0.0154964 17.4704 2742.53 0.999897 0.00874507
5e-6 0.28e-6 1.20 0.0149698 17.0737 2498.76 0.999892 0.00879824
5e-6 0.36e-6 0.35 0.000281553 1.09405 14.3241 0.999755 0.00604814
5e-6 0.36e-6 0.40 0.000486426 2.15062 32.0409 0.999806 0.00617823
5e-6 0.36e-6 0.45 0.000924334 4.30353 84.6853 0.999854 0.00637774
5e-6 0.36e-6 0.50 0.001817 7.38963 224.112 0.999884 0.0066927
5e-6 0.36e-6 0.55 0.00357481 10.8764 561.789 0.999901 0.0071527
5e-6 0.36e-6 0.60 0.00684696 14.4095 1330.12 0.999911 0.00773907
5e-6 0.36e-6 0.65 0.0123885 17.7971 2960.73 0.999917 0.00837934
5e-6 0.36e-6 0.70 0.0204029 20.7775 5930.19 0.99992 0.00898014
5e-6 0.36e-6 0.75 0.0287719 22.7977 9471.96 0.99992 0.00947617
5e-6 0.36e-6 0.80 0.0325132 23.2034 10404.5 0.999916 0.00984988
5e-6 0.36e-6 0.90 0.0285669 21.3571 6783.97 0.999899 0.0102974
5e-6 0.36e-6 1.00 0.0250668 19.8872 4821.67 0.999885 0.0105116
5e-6 0.36e-6 1.10 0.0232493 19.0461 3963.91 0.999876 0.0106282
5e-6 0.36e-6 1.20 0.0221301 18.4918 3482.92 0.99987 0.0107032
5e-6 0.50e-6 0.35 0.00021675 0.720207 9.01871 0.999693 0.0077515
5e-6 0.50e-6 0.40 0.000332358 1.13707 14.9643 0.999713 0.00787531
5e-6 0.50e-6 0.45 0.00060095 2.21804 33.3242 0.99976 0.008098
5e-6 0.50e-6 0.50 0.00117296 4.20047 81.5261 0.999799 0.0084543
5e-6 0.50e-6 0.55 0.00233318 6.89953 194.859 0.999822 0.00899617
5e-6 0.50e-6 0.60 0.00456378 9.96268 445.711 0.999835 0.00972905
5e-6 0.50e-6 0.65 0.00852571 13.1369 979.544 0.999844 0.0105828
5e-6 0.50e-6 0.70 0.0147959 16.2023 2035.4 0.999851 0.011434
5e-6 0.50e-6 0.75 0.0232198 18.8834 3816.31 0.999856 0.0121713
5e-6 0.50e-6 0.80 0.031993 20.8259 5996.97 0.999857 0.0127448
5e-6 0.50e-6 0.90 0.0399278 21.823 7557.6 0.999849 0.0134441
5e-6 0.50e-6 1.00 0.0388098 21.1525 6469.34 0.999836 0.0137757
5e-6 0.50e-6 1.10 0.0369246 20.4886 5545.14 0.999826 0.0139495
5e-6 0.50e-6 1.20 0.035349 19.9572 4900.68 0.999818 0.0140561
10e-6 0.28e-6 0.35 0.00050128 1.42981 19.494 0.999644 0.0109465
10e-6 0.28e-6 0.40 0.000947812 3.21459 54.8146 0.999738 0.0112358
10e-6 0.28e-6 0.45 0.00184443 6.11205 154.251 0.999794 0.0116955
10e-6 0.28e-6 0.50 0.00359879 9.63537 409.719 0.999822 0.0123827
10e-6 0.28e-6 0.55 0.00687842 13.2974 1018.29 0.999834 0.0132832
10e-6 0.28e-6 0.60 0.0124811 16.8044 2345.43 0.999837 0.0142959
10e-6 0.28e-6 0.65 0.0203964 19.7568 4677.43 0.999833 0.0152729
10e-6 0.28e-6 0.70 0.0269297 21.2167 6566.19 0.999823 0.016098
10e-6 0.28e-6 0.75 0.0267141 20.4976 5556.58 0.999805 0.0167296
10e-6 0.28e-6 0.80 0.0231286 18.82 3760.13 0.999782 0.0171851
10e-6 0.28e-6 0.90 0.0183223 16.338 2101.49 0.999743 0.0177218
10e-6 0.28e-6 1.00 0.016428 15.173 1595.27 0.99972 0.0179867
10e-6 0.28e-6 1.10 0.0155225 14.5522 1376.1 0.999706 0.0181418
10e-6 0.28e-6 1.20 0.014994 14.1611 1253.31 0.999696 0.018249
10e-6 0.36e-6 0.35 0.000275858 0.566044 6.9603 0.999463 0.0127418
10e-6 0.36e-6 0.40 0.000474664 1.17043 15.465 0.999562 0.0129968
10e-6 0.36e-6 0.45 0.000900516 2.59473 40.8729 0.999657 0.0133867
10e-6 0.36e-6 0.50 0.00176969 5.01077 108.501 0.999714 0.0140031
10e-6 0.36e-6 0.55 0.00348471 8.10112 272.895 0.999742 0.0149084
10e-6 0.36e-6 0.60 0.00668888 11.4493 648.029 0.999752 0.016071
10e-6 0.36e-6 0.65 0.0121471 14.7652 1447.8 0.999753 0.0173504
10e-6 0.36e-6 0.70 0.0201181 17.7379 2919.75 0.999748 0.0185594
10e-6 0.36e-6 0.75 0.028611 19.7999 4724.43 0.999739 0.0195631
10e-6 0.36e-6 0.80 0.032604 20.2632 5261.87 0.999722 0.0203219
10e-6 0.36e-6 0.90 0.0286976 18.4286 3431.61 0.999678 0.0212321
10e-6 0.36e-6 1.00 0.0251227 16.9454 2424.32 0.999646 0.0216673
10e-6 0.36e-6 1.10 0.0232819 16.1042 1988.62 0.999625 0.0219033
10e-6 0.36e-6 1.20 0.0221569 15.5543 1746.18 0.999611 0.0220544
10e-6 0.50e-6 0.35 0.000214055 0.369746 4.44303 0.999315 0.0161469
10e-6 0.50e-6 0.40 0.000327106 0.594872 7.33944 0.999353 0.0163885
10e-6 0.50e-6 0.45 0.000590302 1.22708 16.3239 0.999442 0.0168256
10e-6 0.50e-6 0.50 0.00115149 2.55344 40.0118 0.999515 0.0175255
10e-6 0.50e-6 0.55 0.00229144 4.65025 95.8716 0.999552 0.0185935
10e-6 0.50e-6 0.60 0.00448835 7.31963 219.71 0.999564 0.0200456
10e-6 0.50e-6 0.65 0.00840477 10.284 483.735 0.999563 0.0217471
10e-6 0.50e-6 0.70 0.0146349 13.256 1008.06 0.999558 0.0234531
10e-6 0.50e-6 0.75 0.0230634 15.9095 1899.17 0.999549 0.0249382
10e-6 0.50e-6 0.80 0.0319266 17.8598 3004.07 0.999537 0.0260971
10e-6 0.50e-6 0.90 0.040046 18.8792 3811.94 0.9995 0.027513
10e-6 0.50e-6 1.00 0.038889 18.2001 3252.87 0.999465 0.0281841
10e-6 0.50e-6 1.10 0.0369669 17.5317 2781.73 0.99944 0.0285346
10e-6 0.50e-6 1.20 0.0353754 17.0008 2455.9 0.999421 0.028749
