N_W_m N_L_m P_W_m P_L_m VCM ID_A JD_N_mA_per_um JD_P_mA_per_um VOUT_DC
0.22e-6 0.28e-6 2e-6 0.36e-6 0.70 2.20076E-06 0.0100035 0.00110038 1.76731
0.22e-6 0.28e-6 2e-6 0.36e-6 0.75 3.32377E-06 0.0151081 0.00166189 1.73854
0.22e-6 0.28e-6 2e-6 0.36e-6 0.80 4.62403E-06 0.0210183 0.00231202 1.67667
0.22e-6 0.28e-6 2e-6 0.36e-6 0.85 4.91412E-06 0.0223369 0.00245706 0.722451
0.22e-6 0.28e-6 2e-6 0.36e-6 0.90 3.23199E-06 0.0146908 0.00161599 0.116764
0.22e-6 0.28e-6 2e-6 0.36e-6 0.95 1.8102E-06 0.00822819 0.000905101 0.0481046
0.22e-6 0.28e-6 2e-6 0.36e-6 1.00 8.78901E-07 0.00399501 0.000439451 0.0195003
0.22e-6 0.28e-6 2e-6 0.36e-6 1.05 3.66777E-07 0.00166717 0.000183388 0.00715815
0.22e-6 0.28e-6 2e-6 0.36e-6 1.10 1.34323E-07 0.000610561 6.71617E-05 0.00236998
0.22e-6 0.28e-6 2e-6 0.36e-6 1.15 4.47875E-08 0.000203579 2.23937E-05 0.000725846
0.22e-6 0.28e-6 2e-6 0.50e-6 0.55 3.08456E-07 0.00140207 0.000154228 1.79552
0.22e-6 0.28e-6 2e-6 0.50e-6 0.60 6.86854E-07 0.00312207 0.000343427 1.78881
0.22e-6 0.28e-6 2e-6 0.50e-6 0.65 1.30995E-06 0.00595433 0.000654976 1.77537
0.22e-6 0.28e-6 2e-6 0.50e-6 0.70 2.18849E-06 0.00994767 0.00109424 1.75015
0.22e-6 0.28e-6 2e-6 0.50e-6 0.75 3.28796E-06 0.0149453 0.00164398 1.69905
0.22e-6 0.28e-6 2e-6 0.50e-6 0.80 4.0395E-06 0.0183613 0.00201975 1.14
0.22e-6 0.28e-6 2e-6 0.50e-6 0.85 2.76462E-06 0.0125665 0.00138231 0.12616
0.22e-6 0.28e-6 2e-6 0.50e-6 0.90 1.63879E-06 0.00744905 0.000819395 0.0511465
0.22e-6 0.28e-6 2e-6 0.50e-6 0.95 8.54535E-07 0.00388425 0.000427267 0.0215856
0.22e-6 0.28e-6 2e-6 0.50e-6 1.00 3.84087E-07 0.00174585 0.000192044 0.00835991
0.22e-6 0.28e-6 2e-6 0.50e-6 1.05 1.49344E-07 0.000678837 7.46721E-05 0.00289504
0.22e-6 0.28e-6 2e-6 0.50e-6 1.10 5.18962E-08 0.000235892 2.59481E-05 0.000913683
0.22e-6 0.28e-6 2e-6 0.50e-6 1.15 1.66464E-08 7.56653E-05 8.32319E-06 0.000269608
0.22e-6 0.28e-6 10e-6 0.28e-6 0.55 3.09186E-07 0.00140539 3.09186E-05 1.79956
0.22e-6 0.28e-6 10e-6 0.28e-6 0.60 6.90234E-07 0.00313743 6.90234E-05 1.79893
0.22e-6 0.28e-6 10e-6 0.28e-6 0.65 1.32158E-06 0.0060072 0.000132158 1.79773
0.22e-6 0.28e-6 10e-6 0.28e-6 0.70 2.22112E-06 0.010096 0.000222112 1.79567
0.22e-6 0.28e-6 10e-6 0.28e-6 0.75 3.37277E-06 0.0153308 0.000337277 1.79239
0.22e-6 0.28e-6 10e-6 0.28e-6 0.80 4.74479E-06 0.0215672 0.000474479 1.78717
0.22e-6 0.28e-6 10e-6 0.28e-6 0.85 6.30175E-06 0.0286443 0.000630175 1.77852
0.22e-6 0.28e-6 10e-6 0.28e-6 0.90 8.00715E-06 0.0363961 0.000800715 1.76244
0.22e-6 0.28e-6 10e-6 0.28e-6 0.95 9.80379E-06 0.0445627 0.000980379 1.72045
0.22e-6 0.28e-6 10e-6 0.28e-6 1.00 9.56491E-06 0.0434769 0.000956491 0.621583
0.22e-6 0.28e-6 10e-6 0.28e-6 1.05 5.02269E-06 0.0228304 0.000502269 0.117297
0.22e-6 0.28e-6 10e-6 0.28e-6 1.10 2.0662E-06 0.00939182 0.00020662 0.0384653
0.22e-6 0.28e-6 10e-6 0.28e-6 1.15 7.45597E-07 0.00338908 7.45597E-05 0.0122789
0.22e-6 0.28e-6 10e-6 0.36e-6 0.55 3.09157E-07 0.00140526 3.09157E-05 1.7994
0.22e-6 0.28e-6 10e-6 0.36e-6 0.60 6.90095E-07 0.00313679 6.90095E-05 1.79852
0.22e-6 0.28e-6 10e-6 0.36e-6 0.65 1.3211E-06 0.00600501 0.00013211 1.7968
0.22e-6 0.28e-6 10e-6 0.36e-6 0.70 2.21979E-06 0.0100899 0.000221979 1.79382
0.22e-6 0.28e-6 10e-6 0.36e-6 0.75 3.36957E-06 0.0153162 0.000336957 1.78888
0.22e-6 0.28e-6 10e-6 0.36e-6 0.80 4.73762E-06 0.0215346 0.000473762 1.78061
0.22e-6 0.28e-6 10e-6 0.36e-6 0.85 6.28534E-06 0.0285697 0.000628534 1.76556
0.22e-6 0.28e-6 10e-6 0.36e-6 0.90 7.96068E-06 0.0361849 0.000796068 1.72997
0.22e-6 0.28e-6 10e-6 0.36e-6 0.95 7.78101E-06 0.0353682 0.000778101 0.594965
0.22e-6 0.28e-6 10e-6 0.36e-6 1.00 3.86228E-06 0.0175558 0.000386228 0.0985544
0.22e-6 0.28e-6 10e-6 0.36e-6 1.05 1.57696E-06 0.00716798 0.000157696 0.0320215
0.22e-6 0.28e-6 10e-6 0.36e-6 1.10 5.66731E-07 0.00257605 5.66731E-05 0.0101145
0.22e-6 0.28e-6 10e-6 0.36e-6 1.15 1.86231E-07 0.000846505 1.86231E-05 0.0030278
0.22e-6 0.28e-6 10e-6 0.50e-6 0.55 3.09109E-07 0.00140504 3.09109E-05 1.79914
0.22e-6 0.28e-6 10e-6 0.50e-6 0.60 6.89874E-07 0.00313579 6.89874E-05 1.79786
0.22e-6 0.28e-6 10e-6 0.50e-6 0.65 1.32034E-06 0.00600155 0.000132034 1.79534
0.22e-6 0.28e-6 10e-6 0.50e-6 0.70 2.21768E-06 0.0100804 0.000221768 1.79089
0.22e-6 0.28e-6 10e-6 0.50e-6 0.75 3.36451E-06 0.0152932 0.000336451 1.78332
0.22e-6 0.28e-6 10e-6 0.50e-6 0.80 4.72599E-06 0.0214818 0.000472599 1.76999
