VDS_V W_m L_m VGS_V NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag
5.0 0.30e-6 0.60e-6 0.81 0.0104015 26.0884 20264.7 0.999994 -8.6503E-05
5.0 0.30e-6 0.60e-6 0.815 0.0104613 26.1275 20448.5 0.999994 -8.618E-05
5.0 0.30e-6 0.60e-6 0.82 0.01052 26.1659 20630.3 0.999994 -8.58702E-05
5.0 0.30e-6 0.60e-6 0.825 0.0105776 26.2034 20809.9 0.999994 -8.55727E-05
5.0 0.30e-6 0.60e-6 0.83 0.0106343 26.2402 20987.3 0.999994 -8.52867E-05
5.0 0.30e-6 0.60e-6 0.835 0.0106899 26.2762 21162.3 0.999994 -8.50115E-05
5.0 0.30e-6 0.60e-6 0.84 0.0107444 26.3114 21335 0.999994 -8.47465E-05
5.0 0.30e-6 0.60e-6 0.845 0.010798 26.3458 21505.2 0.999994 -8.4491E-05
5.0 0.30e-6 0.60e-6 0.85 0.0108505 26.3795 21672.8 0.999994 -8.42443E-05
5.0 0.30e-6 0.60e-6 0.855 0.0109021 26.4123 21837.9 0.999994 -8.40061E-05
5.0 0.30e-6 0.60e-6 0.86 0.0109526 26.4444 22000.3 0.999994 -8.37757E-05
5.0 0.30e-6 0.60e-6 0.865 0.0110022 26.4758 22160.1 0.999994 -8.35527E-05
5.0 0.30e-6 0.60e-6 0.87 0.0110508 26.5064 22317.2 0.999994 -8.33367E-05
5.0 0.30e-6 0.60e-6 0.875 0.0110984 26.5363 22471.6 0.999994 -8.31273E-05
5.0 0.30e-6 0.60e-6 0.88 0.0111451 26.5654 22623.2 0.999994 -8.2924E-05
5.0 0.30e-6 0.60e-6 0.885 0.0111909 26.5939 22772.2 0.999994 -8.27265E-05
5.0 0.30e-6 0.60e-6 0.89 0.0112357 26.6216 22918.4 0.999994 -8.25346E-05
5.0 0.30e-6 0.60e-6 0.895 0.0112797 26.6487 23061.9 0.999994 -8.23478E-05
5.0 0.30e-6 0.60e-6 0.9 0.0113227 26.675 23202.7 0.999994 -8.2166E-05
5.0 0.30e-6 0.60e-6 0.905 0.0113649 26.7008 23340.8 0.999994 -8.19888E-05
5.0 0.30e-6 0.60e-6 0.91 0.0114063 26.7258 23476.3 0.999994 -8.18161E-05
5.0 0.30e-6 0.60e-6 0.915 0.0114468 26.7503 23609 0.999994 -8.16475E-05
5.0 0.30e-6 0.60e-6 0.92 0.0114865 26.7741 23739.2 0.999994 -8.14829E-05
5.0 0.30e-6 0.60e-6 0.925 0.0115254 26.7973 23866.7 0.999994 -8.1322E-05
5.0 0.30e-6 0.60e-6 0.93 0.0115635 26.82 23991.7 0.999994 -8.11648E-05
5.0 0.30e-6 0.60e-6 0.935 0.0116008 26.842 24114.1 0.999994 -8.10109E-05
5.0 0.30e-6 0.60e-6 0.94 0.0116374 26.8635 24234.1 0.999994 -8.08603E-05
5.0 0.30e-6 0.60e-6 0.945 0.0116732 26.8845 24351.5 0.999994 -8.07128E-05
5.0 0.30e-6 0.60e-6 0.95 0.0117084 26.9049 24466.6 0.999994 -8.05683E-05
5.0 0.30e-6 0.60e-6 0.955 0.0117428 26.9248 24579.2 0.999994 -8.04266E-05
5.0 0.30e-6 0.60e-6 0.96 0.0117766 26.9442 24689.6 0.999995 -8.02876E-05
5.0 0.30e-6 0.60e-6 0.965 0.0118097 26.9631 24797.6 0.999995 -8.01512E-05
5.0 0.30e-6 0.60e-6 0.97 0.0118421 26.9816 24903.4 0.999995 -8.00173E-05
5.0 0.30e-6 0.60e-6 0.975 0.0118739 26.9996 25006.9 0.999995 -7.98858E-05
5.0 0.30e-6 0.60e-6 0.98 0.0119051 27.0171 25108.3 0.999995 -7.97566E-05
5.0 0.30e-6 0.60e-6 0.985 0.0119357 27.0342 25207.6 0.999995 -7.96295E-05
5.0 0.30e-6 0.60e-6 0.99 0.0119656 27.0509 25304.8 0.999995 -7.95046E-05
5.0 0.30e-6 0.60e-6 0.995 0.0119951 27.0672 25400 0.999995 -7.93817E-05
5.0 0.30e-6 0.60e-6 1 0.0120239 27.083 25493.2 0.999995 -7.92608E-05
5.0 0.30e-6 0.60e-6 1.005 0.0120523 27.0985 25584.4 0.999995 -7.91417E-05
5.0 0.30e-6 0.60e-6 1.01 0.0120801 27.1137 25673.8 0.999995 -7.90245E-05
5.0 0.30e-6 0.60e-6 1.015 0.0121074 27.1284 25761.3 0.999995 -7.89091E-05
5.0 0.30e-6 0.60e-6 1.02 0.0121342 27.1428 25847.1 0.999995 -7.87953E-05
5.0 0.30e-6 0.60e-6 1.025 0.0121605 27.1569 25931 0.999995 -7.86832E-05
5.0 0.30e-6 0.60e-6 1.03 0.0121863 27.1706 26013.3 0.999995 -7.85727E-05
5.0 0.30e-6 0.60e-6 1.035 0.0122117 27.184 26093.9 0.999995 -7.84638E-05
5.0 0.30e-6 0.60e-6 1.04 0.0122366 27.1971 26172.9 0.999995 -7.83563E-05
5.0 0.30e-6 0.60e-6 1.045 0.0122611 27.2099 26250.3 0.999995 -7.82503E-05
5.0 0.30e-6 0.60e-6 1.05 0.0122852 27.2224 26326.1 0.999995 -7.81457E-05
5.0 0.30e-6 0.60e-6 1.055 0.0123088 27.2346 26400.5 0.999995 -7.80425E-05
5.0 0.30e-6 0.60e-6 1.06 0.0123321 27.2466 26473.3 0.999995 -7.79406E-05
5.0 0.30e-6 0.60e-6 1.065 0.012355 27.2583 26544.8 0.999995 -7.784E-05
5.0 0.30e-6 0.60e-6 1.07 0.0123775 27.2697 26614.9 0.999995 -7.77407E-05
5.0 0.30e-6 0.60e-6 1.075 0.0123996 27.2809 26683.6 0.999995 -7.76425E-05
5.0 0.30e-6 0.60e-6 1.08 0.0124214 27.2918 26751.1 0.999995 -7.75456E-05
5.0 0.30e-6 0.60e-6 1.085 0.0124428 27.3025 26817.2 0.999995 -7.74499E-05
5.0 0.30e-6 0.60e-6 1.09 0.0124639 27.313 26882.1 0.999995 -7.73552E-05
5.0 0.30e-6 0.60e-6 1.095 0.0124847 27.3233 26945.8 0.999995 -7.72617E-05
5.0 0.30e-6 0.60e-6 1.1 0.0125052 27.3333 27008.4 0.999995 -7.71693E-05
5.0 0.30e-6 0.60e-6 1.105 0.0125253 27.3432 27069.8 0.999995 -7.70779E-05
5.0 0.30e-6 0.60e-6 1.11 0.0125452 27.3528 27130.1 0.999995 -7.69875E-05
5.0 0.30e-6 0.60e-6 1.115 0.0125647 27.3623 27189.3 0.999995 -7.68982E-05
5.0 0.30e-6 0.60e-6 1.12 0.012584 27.3715 27247.5 0.999995 -7.68098E-05
5.0 0.30e-6 0.60e-6 1.125 0.012603 27.3806 27304.7 0.999995 -7.67224E-05
5.0 0.30e-6 0.60e-6 1.13 0.0126218 27.3895 27360.9 0.999995 -7.6636E-05
5.0 0.30e-6 0.60e-6 1.135 0.0126402 27.3983 27416.1 0.999995 -7.65504E-05
5.0 0.30e-6 0.60e-6 1.14 0.0126585 27.4069 27470.4 0.999995 -7.64658E-05
5.0 0.30e-6 0.60e-6 1.145 0.0126764 27.4153 27523.8 0.999995 -7.6382E-05
5.0 0.30e-6 0.60e-6 1.15 0.0126942 27.4235 27576.3 0.999995 -7.62991E-05
5.0 0.30e-6 0.60e-6 1.155 0.0127117 27.4316 27628 0.999995 -7.62171E-05
5.0 0.30e-6 0.60e-6 1.16 0.012729 27.4396 27678.8 0.999995 -7.61358E-05
5.0 0.30e-6 0.60e-6 1.165 0.012746 27.4474 27728.9 0.999995 -7.60554E-05
5.0 0.30e-6 0.60e-6 1.17 0.0127629 27.4551 27778.1 0.999995 -7.59758E-05
5.0 0.30e-6 0.60e-6 1.175 0.0127795 27.4627 27826.6 0.999995 -7.5897E-05
5.0 0.30e-6 0.60e-6 1.18 0.012796 27.4701 27874.4 0.999995 -7.58189E-05
5.0 0.30e-6 0.60e-6 1.185 0.0128122 27.4774 27921.4 0.999995 -7.57416E-05
5.0 0.30e-6 0.60e-6 1.19 0.0128283 27.4846 27967.7 0.999995 -7.5665E-05
5.0 0.30e-6 0.60e-6 1.195 0.0128442 27.4917 28013.4 0.999995 -7.55892E-05
5.0 0.30e-6 0.60e-6 1.2 0.0128599 27.4987 28058.4 0.999995 -7.5514E-05
5.0 0.30e-6 0.60e-6 1.205 0.0128754 27.5055 28102.8 0.999995 -7.54396E-05
5.0 0.30e-6 0.60e-6 1.21 0.0128907 27.5123 28146.5 0.999995 -7.53658E-05
5.0 0.30e-6 0.60e-6 1.215 0.0129059 27.5189 28189.6 0.999995 -7.52928E-05
5.0 0.30e-6 0.60e-6 1.22 0.0129209 27.5254 28232.2 0.999995 -7.52203E-05
5.0 0.30e-6 0.60e-6 1.225 0.0129358 27.5319 28274.2 0.999995 -7.51486E-05
5.0 0.30e-6 0.60e-6 1.23 0.0129505 27.5382 28315.6 0.999995 -7.50774E-05
5.0 0.30e-6 0.60e-6 1.235 0.012965 27.5445 28356.5 0.999995 -7.50069E-05
5.0 0.30e-6 0.60e-6 1.24 0.0129794 27.5506 28396.9 0.999995 -7.4937E-05
5.0 0.30e-6 0.60e-6 1.245 0.0129937 27.5567 28436.7 0.999995 -7.48678E-05
5.0 0.30e-6 0.60e-6 1.25 0.0130078 27.5627 28476.1 0.999995 -7.47991E-05
5.0 0.30e-6 0.60e-6 1.255 0.0130218 27.5686 28515 0.999995 -7.4731E-05
5.0 0.30e-6 0.60e-6 1.26 0.0130357 27.5745 28553.4 0.999995 -7.46635E-05
5.0 0.30e-6 0.60e-6 1.265 0.0130494 27.5802 28591.3 0.999995 -7.45965E-05
5.0 0.30e-6 0.60e-6 1.27 0.013063 27.5859 28628.8 0.999995 -7.45301E-05
5.0 0.30e-6 0.60e-6 1.275 0.0130765 27.5915 28665.9 0.999995 -7.44643E-05
5.0 0.30e-6 0.60e-6 1.28 0.0130898 27.5971 28702.6 0.999995 -7.4399E-05
5.0 0.30e-6 0.60e-6 1.285 0.0131031 27.6025 28738.8 0.999995 -7.43342E-05
5.0 0.30e-6 0.60e-6 1.29 0.0131162 27.6079 28774.7 0.999995 -7.42699E-05
5.0 0.30e-6 0.60e-6 1.295 0.0131293 27.6133 28810.2 0.999995 -7.42062E-05
5.0 0.30e-6 0.60e-6 1.3 0.0131422 27.6186 28845.3 0.999995 -7.4143E-05
5.0 0.30e-6 0.60e-6 1.305 0.013155 27.6238 28880 0.999995 -7.40803E-05
5.0 0.30e-6 0.60e-6 1.31 0.0131677 27.6289 28914.4 0.999995 -7.4018E-05
5.0 0.30e-6 0.60e-6 1.315 0.0131803 27.634 28948.5 0.999995 -7.39563E-05
5.0 0.30e-6 0.60e-6 1.32 0.0131928 27.6391 28982.2 0.999995 -7.3895E-05
5.0 0.30e-6 0.60e-6 1.325 0.0132053 27.6441 29015.5 0.999995 -7.38342E-05
5.0 0.30e-6 0.60e-6 1.33 0.0132176 27.649 29048.6 0.999995 -7.37739E-05
5.0 0.30e-6 0.60e-6 1.335 0.0132298 27.6539 29081.4 0.999995 -7.3714E-05
5.0 0.30e-6 0.60e-6 1.34 0.013242 27.6587 29113.8 0.999995 -7.36546E-05
5.0 0.30e-6 0.60e-6 1.345 0.013254 27.6635 29146 0.999995 -7.35956E-05
5.0 0.30e-6 0.60e-6 1.35 0.013266 27.6683 29177.8 0.999995 -7.3537E-05
5.0 0.30e-6 0.60e-6 1.355 0.0132779 27.673 29209.4 0.999995 -7.34789E-05
5.0 0.30e-6 0.60e-6 1.36 0.0132897 27.6776 29240.8 0.999995 -7.34212E-05
5.0 0.30e-6 0.60e-6 1.365 0.0133014 27.6822 29271.8 0.999995 -7.33639E-05
5.0 0.30e-6 0.60e-6 1.37 0.0133131 27.6868 29302.6 0.999995 -7.33071E-05
5.0 0.30e-6 0.60e-6 1.375 0.0133247 27.6913 29333.2 0.999995 -7.32506E-05
5.0 0.30e-6 0.60e-6 1.38 0.0133362 27.6958 29363.5 0.999995 -7.31945E-05
5.0 0.30e-6 0.60e-6 1.385 0.0133476 27.7002 29393.6 0.999995 -7.31389E-05
5.0 0.30e-6 0.60e-6 1.39 0.013359 27.7046 29423.4 0.999995 -7.30836E-05
5.0 0.30e-6 0.60e-6 1.395 0.0133703 27.709 29453.1 0.999995 -7.30287E-05
