N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 2e-6 0.36e-6 0.70 0.0874256 30.4253 55094.3 0.999965 0.00581369
0.22e-6 0.28e-6 2e-6 0.36e-6 0.75 0.0682912 28.3251 33949.6 0.99996 0.00577255
0.22e-6 0.28e-6 2e-6 0.36e-6 0.80 0.0489333 25.5435 17869.1 0.999953 0.00558764
0.22e-6 0.28e-6 2e-6 0.36e-6 0.85 0.0366929 23.1839 10357.7 0.999947 0.00487912
0.22e-6 0.28e-6 2e-6 0.36e-6 0.90 0.0542057 26.6364 22996.4 0.999961 0.00484302
0.22e-6 0.28e-6 2e-6 0.36e-6 0.95 0.0810462 30.2196 52543.3 0.999971 0.00480215
0.22e-6 0.28e-6 2e-6 0.36e-6 1.00 0.11627 33.4959 111779 0.999977 0.00470737
0.22e-6 0.28e-6 2e-6 0.36e-6 1.05 0.150412 35.9304 195840 0.999981 0.00456814
0.22e-6 0.28e-6 2e-6 0.36e-6 1.10 0.173186 37.4114 275443 0.999983 0.00437943
0.22e-6 0.28e-6 2e-6 0.36e-6 1.15 0.192782 38.6399 365505 0.999985 0.00414624
0.22e-6 0.28e-6 2e-6 0.50e-6 0.55 0.100856 30.3647 54329.5 0.999951 0.00747583
0.22e-6 0.28e-6 2e-6 0.50e-6 0.60 0.0940665 29.7707 47377.8 0.999949 0.00748506
0.22e-6 0.28e-6 2e-6 0.50e-6 0.65 0.0845133 28.8608 38413.5 0.999947 0.00748362
0.22e-6 0.28e-6 2e-6 0.50e-6 0.70 0.072382 27.5603 28459.6 0.999943 0.00745058
0.22e-6 0.28e-6 2e-6 0.50e-6 0.75 0.0580998 25.7588 18779.9 0.999938 0.00730422
0.22e-6 0.28e-6 2e-6 0.50e-6 0.80 0.0448582 23.693 11652.1 0.999936 0.00623375
0.22e-6 0.28e-6 2e-6 0.50e-6 0.85 0.0617686 26.5633 22612.1 0.99995 0.00615796
0.22e-6 0.28e-6 2e-6 0.50e-6 0.90 0.0873761 29.6932 46539.6 0.99996 0.00612302
0.22e-6 0.28e-6 2e-6 0.50e-6 0.95 0.112839 32.0883 80820.8 0.999966 0.00602458
0.22e-6 0.28e-6 2e-6 0.50e-6 1.00 0.1335 33.8012 119924 0.99997 0.00586901
0.22e-6 0.28e-6 2e-6 0.50e-6 1.05 0.147709 35.024 158940 0.999973 0.00565041
0.22e-6 0.28e-6 2e-6 0.50e-6 1.10 0.160915 36.2051 208628 0.999977 0.00536513
0.22e-6 0.28e-6 2e-6 0.50e-6 1.15 0.178743 37.6077 288181 0.99998 0.00503054
0.22e-6 0.28e-6 10e-6 0.28e-6 0.55 0.128014 30.6726 58317.3 0.999709 0.0230566
0.22e-6 0.28e-6 10e-6 0.28e-6 0.60 0.122069 30.2732 53189.4 0.999708 0.02304
0.22e-6 0.28e-6 10e-6 0.28e-6 0.65 0.115306 29.7947 47635.6 0.999707 0.0230122
0.22e-6 0.28e-6 10e-6 0.28e-6 0.70 0.107521 29.2117 41644.5 0.999707 0.0229634
0.22e-6 0.28e-6 10e-6 0.28e-6 0.75 0.0984906 28.4861 35229.5 0.999706 0.0228842
0.22e-6 0.28e-6 10e-6 0.28e-6 0.80 0.0878378 27.5471 28369.7 0.999705 0.022762
0.22e-6 0.28e-6 10e-6 0.28e-6 0.85 0.0749367 26.2536 21049.5 0.999704 0.0225699
0.22e-6 0.28e-6 10e-6 0.28e-6 0.90 0.058969 24.3196 13467 0.999702 0.0222325
0.22e-6 0.28e-6 10e-6 0.28e-6 0.95 0.0396274 21.177 6505.65 0.999703 0.0213049
0.22e-6 0.28e-6 10e-6 0.28e-6 1.00 0.0296796 19.059 3975.64 0.999746 0.0183207
0.22e-6 0.28e-6 10e-6 0.28e-6 1.05 0.0418376 22.29 8421 0.999783 0.0178651
0.22e-6 0.28e-6 10e-6 0.28e-6 1.10 0.0566162 25.2932 16864.5 0.999813 0.0172461
0.22e-6 0.28e-6 10e-6 0.28e-6 1.15 0.0644659 26.9353 24637.4 0.999835 0.0164255
0.22e-6 0.28e-6 10e-6 0.36e-6 0.55 0.10584 27.6167 28827.2 0.99957 0.0278339
0.22e-6 0.28e-6 10e-6 0.36e-6 0.60 0.100606 27.1989 26178.7 0.999569 0.0277983
0.22e-6 0.28e-6 10e-6 0.36e-6 0.65 0.0947586 26.707 23370.1 0.999568 0.0277457
0.22e-6 0.28e-6 10e-6 0.36e-6 0.70 0.0880972 26.1128 20375.1 0.999568 0.0276626
0.22e-6 0.28e-6 10e-6 0.36e-6 0.75 0.0803623 25.3714 17169.6 0.999567 0.0275326
0.22e-6 0.28e-6 10e-6 0.36e-6 0.80 0.071123 24.3972 13709.7 0.999567 0.0273276
0.22e-6 0.28e-6 10e-6 0.36e-6 0.85 0.0596427 23.0121 9952.34 0.999567 0.0269726
0.22e-6 0.28e-6 10e-6 0.36e-6 0.90 0.045085 20.8689 6056.39 0.999574 0.0260901
0.22e-6 0.28e-6 10e-6 0.36e-6 0.95 0.036452 19.471 4376.03 0.999661 0.0220338
0.22e-6 0.28e-6 10e-6 0.36e-6 1.00 0.0490367 22.3541 8546.61 0.999704 0.0214634
0.22e-6 0.28e-6 10e-6 0.36e-6 1.05 0.0581755 24.2961 13394.1 0.999735 0.020713
0.22e-6 0.28e-6 10e-6 0.36e-6 1.10 0.0610439 25.3488 17082.2 0.999765 0.0197123
0.22e-6 0.28e-6 10e-6 0.36e-6 1.15 0.063169 26.4392 21971.9 0.999796 0.018506
0.22e-6 0.28e-6 10e-6 0.50e-6 0.55 0.0858441 23.7319 11753.6 0.99926 0.0362182
0.22e-6 0.28e-6 10e-6 0.50e-6 0.60 0.0815083 23.3139 10670.5 0.999258 0.0361539
0.22e-6 0.28e-6 10e-6 0.50e-6 0.65 0.0767514 22.832 9544.75 0.999257 0.0360634
0.22e-6 0.28e-6 10e-6 0.50e-6 0.70 0.0713949 22.2587 8358.18 0.999256 0.0359269
0.22e-6 0.28e-6 10e-6 0.50e-6 0.75 0.0651953 21.5497 7091.65 0.999256 0.0357144
0.22e-6 0.28e-6 10e-6 0.50e-6 0.80 0.05776 20.6236 5720.26 0.999259 0.0353587
0.22e-6 0.28e-6 10e-6 0.50e-6 0.85 0.0485707 19.3465 4250.25 0.99927 0.0345966
0.22e-6 0.28e-6 10e-6 0.50e-6 0.90 0.0443013 18.9811 3903.55 0.99945 0.0289599
0.22e-6 0.28e-6 10e-6 0.50e-6 0.95 0.0521038 20.7086 5835.02 0.999503 0.028074
0.22e-6 0.28e-6 10e-6 0.50e-6 1.00 0.0573063 21.9887 7852.41 0.999545 0.0272461
