VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro Rin_CG_est_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 0.30e-6 0.60e-6 1.42 1.42 5 0 2.4751E-05 0.0825034 0.123755 3.4662E-05 1.10605E-06 1.40042 904115 31.3384 28850.1 0.00108519 25.3305 17014.4 0.999833 0.000251437 0.999833
5.0 0.30e-6 0.60e-6 1.425 1.425 5 0 2.4926E-05 0.0830867 0.12463 3.47309E-05 1.1082E-06 1.39336 902361 31.3398 28792.8 0.00108513 25.336 17035.9 0.999833 0.000251474 0.999833
5.0 0.30e-6 0.60e-6 1.43 1.43 5 0 2.51013E-05 0.083671 0.125507 3.47996E-05 1.11034E-06 1.38636 900623 31.3413 28736 0.00108508 25.3414 17057.5 0.999833 0.000251511 0.999833
5.0 0.30e-6 0.60e-6 1.435 1.435 5 0 2.52769E-05 0.0842564 0.126385 3.48679E-05 1.11247E-06 1.37944 898902 31.3429 28679.6 0.00108504 25.3469 17078.9 0.999833 0.000251547 0.999833
5.0 0.30e-6 0.60e-6 1.44 1.44 5 0 2.54529E-05 0.084843 0.127264 3.49361E-05 1.11458E-06 1.37258 897196 31.3445 28623.7 0.001085 25.3523 17100.3 0.999833 0.000251583 0.999833
5.0 0.30e-6 0.60e-6 1.445 1.445 5 0 2.56292E-05 0.0854305 0.128146 3.50039E-05 1.11669E-06 1.36579 895506 31.3462 28568.2 0.00108497 25.3577 17121.6 0.999833 0.000251618 0.999833
5.0 0.30e-6 0.60e-6 1.45 1.45 5 0 2.58058E-05 0.0860192 0.129029 3.50715E-05 1.11878E-06 1.35906 893831 31.348 28513.2 0.00108495 25.3631 17142.9 0.999833 0.000251652 0.999833
5.0 0.30e-6 0.60e-6 1.455 1.455 5 0 2.59827E-05 0.0866089 0.129913 3.51388E-05 1.12086E-06 1.35239 892171 31.3498 28458.5 0.00108493 25.3684 17164.1 0.999833 0.000251686 0.999833
5.0 0.30e-6 0.60e-6 1.46 1.46 5 0 2.61599E-05 0.0871997 0.1308 3.52059E-05 1.12293E-06 1.34579 890526 31.3517 28404.3 0.00108491 25.3738 17185.3 0.999833 0.000251719 0.999833
5.0 0.30e-6 0.60e-6 1.465 1.465 5 0 2.63375E-05 0.0877916 0.131687 3.52727E-05 1.12499E-06 1.33926 888895 31.3537 28350.6 0.0010849 25.3791 17206.5 0.999833 0.000251751 0.999833
5.0 0.30e-6 0.60e-6 1.47 1.47 5 0 2.65154E-05 0.0883845 0.132577 3.53392E-05 1.12704E-06 1.33278 887279 31.3557 28297.2 0.0010849 25.3844 17227.5 0.999832 0.000251783 0.999833
5.0 0.30e-6 0.60e-6 1.475 1.475 5 0 2.66935E-05 0.0889785 0.133468 3.54054E-05 1.12908E-06 1.32637 885676 31.3577 28244.2 0.0010849 25.3897 17248.6 0.999832 0.000251814 0.999832
5.0 0.30e-6 0.60e-6 1.48 1.48 5 0 2.68721E-05 0.0895735 0.13436 3.54714E-05 1.13111E-06 1.32001 884087 31.3598 28191.7 0.00108491 25.395 17269.6 0.999832 0.000251845 0.999832
5.0 0.30e-6 0.60e-6 1.485 1.485 5 0 2.70509E-05 0.0901696 0.135254 3.55372E-05 1.13313E-06 1.31372 882512 31.362 28139.6 0.00108493 25.4002 17290.6 0.999832 0.000251875 0.999832
5.0 0.30e-6 0.60e-6 1.49 1.49 5 0 2.723E-05 0.0907667 0.13615 3.56026E-05 1.13514E-06 1.30748 880951 31.3641 28087.8 0.00108494 25.4054 17311.5 0.999832 0.000251905 0.999832
5.0 0.30e-6 0.60e-6 1.495 1.495 5 0 2.74094E-05 0.0913648 0.137047 3.56678E-05 1.13714E-06 1.3013 879402 31.3663 28036.5 0.00108497 25.4107 17332.4 0.999832 0.000251934 0.999832
5.0 0.30e-6 0.60e-6 1.5 1.5 5 0 2.75892E-05 0.091964 0.137946 3.57328E-05 1.13913E-06 1.29517 877866 31.3686 27985.5 0.001085 25.4159 17353.3 0.999832 0.000251962 0.999832
5.0 0.30e-6 0.60e-6 1.505 1.505 5 0 2.77693E-05 0.0925642 0.138846 3.57974E-05 1.14111E-06 1.2891 876343 31.3708 27935 0.00108504 25.4211 17374.1 0.999832 0.00025199 0.999832
5.0 0.30e-6 0.60e-6 1.51 1.51 5 0 2.79496E-05 0.0931654 0.139748 3.58619E-05 1.14308E-06 1.28309 874832 31.3731 27884.8 0.00108508 25.4263 17394.9 0.999832 0.000252017 0.999832
5.0 0.30e-6 0.60e-6 1.515 1.515 5 0 2.81303E-05 0.0937677 0.140652 3.5926E-05 1.14504E-06 1.27713 873334 31.3754 27835 0.00108512 25.4314 17415.7 0.999832 0.000252043 0.999832
5.0 0.30e-6 0.60e-6 1.52 1.52 5 0 2.83113E-05 0.0943709 0.141556 3.59899E-05 1.14699E-06 1.27122 871847 31.3777 27785.6 0.00108518 25.4366 17436.5 0.999832 0.000252069 0.999832
5.0 0.30e-6 0.60e-6 1.525 1.525 5 0 2.84926E-05 0.0949752 0.142463 3.60536E-05 1.14893E-06 1.26537 870373 31.38 27736.5 0.00108523 25.4417 17457.2 0.999832 0.000252095 0.999832
5.0 0.30e-6 0.60e-6 1.53 1.53 5 0 2.86741E-05 0.0955805 0.143371 3.61169E-05 1.15087E-06 1.25956 868910 31.3824 27687.8 0.0010853 25.4469 17477.9 0.999832 0.000252119 0.999832
5.0 0.30e-6 0.60e-6 1.535 1.535 5 0 2.8856E-05 0.0961868 0.14428 3.61801E-05 1.15279E-06 1.25381 867459 31.3847 27639.5 0.00108537 25.452 17498.7 0.999832 0.000252144 0.999832
5.0 0.30e-6 0.60e-6 1.54 1.54 5 0 2.90382E-05 0.0967941 0.145191 3.6243E-05 1.15471E-06 1.24811 866019 31.3871 27591.6 0.00108544 25.4571 17519.4 0.999832 0.000252167 0.999832
5.0 0.30e-6 0.60e-6 1.545 1.545 5 0 2.92207E-05 0.0974023 0.146104 3.63056E-05 1.15662E-06 1.24246 864590 31.3894 27544 0.00108552 25.4622 17540 0.999832 0.00025219 0.999832
5.0 0.30e-6 0.60e-6 1.55 1.55 5 0 2.94035E-05 0.0980116 0.147017 3.63679E-05 1.15852E-06 1.23686 863172 31.3918 27496.7 0.0010856 25.4673 17560.7 0.999832 0.000252213 0.999832
5.0 0.30e-6 0.60e-6 1.555 1.555 5 0 2.95866E-05 0.0986219 0.147933 3.64301E-05 1.16041E-06 1.2313 861765 31.3941 27449.9 0.00108569 25.4724 17581.4 0.999832 0.000252234 0.999832
5.0 0.30e-6 0.60e-6 1.56 1.56 5 0 2.97699E-05 0.0992331 0.14885 3.64919E-05 1.16229E-06 1.2258 860369 31.3965 27403.3 0.00108579 25.4775 17602 0.999832 0.000252256 0.999832
5.0 0.30e-6 0.60e-6 1.565 1.565 5 0 2.99536E-05 0.0998453 0.149768 3.65535E-05 1.16417E-06 1.22034 858983 31.3988 27357.1 0.00108589 25.4826 17622.7 0.999832 0.000252276 0.999832
5.0 0.30e-6 0.60e-6 1.57 1.57 5 0 3.01376E-05 0.100459 0.150688 3.66149E-05 1.16604E-06 1.21493 857607 31.4012 27311.3 0.001086 25.4877 17643.3 0.999832 0.000252296 0.999832
5.0 0.30e-6 0.60e-6 1.575 1.575 5 0 3.03218E-05 0.101073 0.151609 3.6676E-05 1.1679E-06 1.20956 856241 31.4035 27265.8 0.00108611 25.4927 17664 0.999832 0.000252316 0.999832
