VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro inv_gm_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 4e-6 0.60e-6 1.425 1.425 5 0 7.72536E-05 0.0193134 0.386268 0.000263943 1.04935E-06 3.41658 952975 251.531 3788.69 3.45752 14.6007 1367.02 0.973665 0.0240389 0.973961
5.0 4e-6 0.60e-6 1.43 1.43 5 0 7.85864E-05 0.0196466 0.392932 0.000265673 1.05639E-06 3.38065 946618 251.491 3764.02 3.44606 14.5691 1356.74 0.973566 0.0240485 0.973863
5.0 4e-6 0.60e-6 1.435 1.435 5 0 7.99278E-05 0.0199819 0.399639 0.000267392 1.06338E-06 3.34542 940399 251.455 3739.83 3.4348 14.5381 1346.72 0.973468 0.024058 0.973766
5.0 4e-6 0.60e-6 1.44 1.44 5 0 8.12776E-05 0.0203194 0.406388 0.0002691 1.07031E-06 3.31087 934313 251.423 3716.1 3.42375 14.5077 1336.95 0.973372 0.0240676 0.97367
5.0 4e-6 0.60e-6 1.445 1.445 5 0 8.26359E-05 0.020659 0.41318 0.000270796 1.07717E-06 3.27698 928356 251.395 3692.81 3.4129 14.4779 1327.43 0.973277 0.0240771 0.973575
5.0 4e-6 0.60e-6 1.45 1.45 5 0 8.40026E-05 0.0210006 0.420013 0.000272482 1.08398E-06 3.24373 922524 251.371 3669.97 3.40223 14.4486 1318.15 0.973184 0.0240867 0.973482
5.0 4e-6 0.60e-6 1.455 1.455 5 0 8.53776E-05 0.0213444 0.426888 0.000274157 1.09073E-06 3.21111 916814 251.351 3647.54 3.39176 14.4198 1309.09 0.973092 0.0240963 0.97339
5.0 4e-6 0.60e-6 1.46 1.46 5 0 8.67608E-05 0.0216902 0.433804 0.000275821 1.09743E-06 3.1791 911221 251.334 3625.53 3.38147 14.3915 1300.25 0.973001 0.0241058 0.9733
5.0 4e-6 0.60e-6 1.465 1.465 5 0 8.81523E-05 0.0220381 0.440762 0.000277475 1.10407E-06 3.14768 905743 251.321 3603.92 3.37135 14.3637 1291.63 0.972912 0.0241154 0.973211
5.0 4e-6 0.60e-6 1.47 1.47 5 0 8.9552E-05 0.022388 0.44776 0.000279119 1.11065E-06 3.11684 900376 251.312 3582.7 3.36141 14.3365 1283.22 0.972823 0.024125 0.973123
5.0 4e-6 0.60e-6 1.475 1.475 5 0 9.09598E-05 0.0227399 0.454799 0.000280752 1.11717E-06 3.08655 895116 251.306 3561.86 3.35164 14.3097 1275.01 0.972736 0.0241346 0.973036
5.0 4e-6 0.60e-6 1.48 1.48 5 0 9.23756E-05 0.0230939 0.461878 0.000282375 1.12364E-06 3.05682 889962 251.303 3541.39 3.34204 14.2833 1266.99 0.972651 0.0241442 0.97295
5.0 4e-6 0.60e-6 1.485 1.485 5 0 9.37995E-05 0.0234499 0.468997 0.000283988 1.13006E-06 3.02761 884909 251.304 3521.27 3.3326 14.2575 1259.15 0.972566 0.0241538 0.972866
5.0 4e-6 0.60e-6 1.49 1.49 5 0 9.52313E-05 0.0238078 0.476156 0.000285591 1.13642E-06 2.99892 879955 251.307 3501.51 3.32331 14.232 1251.5 0.972483 0.0241635 0.972783
5.0 4e-6 0.60e-6 1.495 1.495 5 0 9.6671E-05 0.0241677 0.483355 0.000287184 1.14273E-06 2.97074 875097 251.314 3482.09 3.31419 14.2071 1244.03 0.9724 0.0241732 0.972701
5.0 4e-6 0.60e-6 1.5 1.5 5 0 9.81185E-05 0.0245296 0.490593 0.000288767 1.14899E-06 2.94304 870333 251.324 3463 3.30521 14.1825 1236.73 0.972319 0.0241828 0.97262
5.0 4e-6 0.60e-6 1.505 1.505 5 0 9.95739E-05 0.0248935 0.49787 0.000290341 1.15519E-06 2.91583 865660 251.336 3444.23 3.29638 14.1584 1229.59 0.972239 0.0241925 0.97254
5.0 4e-6 0.60e-6 1.51 1.51 5 0 0.000101037 0.0252593 0.505185 0.000291904 1.16134E-06 2.88908 861075 251.352 3425.78 3.2877 14.1347 1222.62 0.97216 0.0242023 0.972462
5.0 4e-6 0.60e-6 1.515 1.515 5 0 0.000102508 0.025627 0.51254 0.000293458 1.16744E-06 2.86279 856577 251.37 3407.64 3.27916 14.1114 1215.8 0.972083 0.024212 0.972384
5.0 4e-6 0.60e-6 1.52 1.52 5 0 0.000103986 0.0259966 0.519932 0.000295003 1.17349E-06 2.83694 852162 251.39 3389.8 3.27076 14.0885 1209.14 0.972006 0.0242218 0.972308
5.0 4e-6 0.60e-6 1.525 1.525 5 0 0.000105473 0.0263681 0.527363 0.000296538 1.17948E-06 2.81152 847829 251.413 3372.25 3.26249 14.0659 1202.62 0.97193 0.0242316 0.972232
5.0 4e-6 0.60e-6 1.53 1.53 5 0 0.000106966 0.0267416 0.534831 0.000298064 1.18543E-06 2.78652 843575 251.439 3354.99 3.25436 14.0438 1196.25 0.971856 0.0242415 0.972158
5.0 4e-6 0.60e-6 1.535 1.535 5 0 0.000108467 0.0271168 0.542337 0.00029958 1.19133E-06 2.76194 839399 251.467 3338.01 3.24635 14.022 1190.02 0.971782 0.0242513 0.972085
5.0 4e-6 0.60e-6 1.54 1.54 5 0 0.000109976 0.027494 0.54988 0.000301087 1.19718E-06 2.73775 835298 251.498 3321.3 3.23848 14.0006 1183.92 0.97171 0.0242612 0.972013
5.0 4e-6 0.60e-6 1.545 1.545 5 0 0.000111492 0.027873 0.557461 0.000302585 1.20298E-06 2.71396 831270 251.53 3304.85 3.23073 13.9796 1177.96 0.971638 0.0242712 0.971941
5.0 4e-6 0.60e-6 1.55 1.55 5 0 0.000113016 0.0282539 0.565078 0.000304074 1.20873E-06 2.69055 827315 251.565 3288.67 3.2231 13.9589 1172.12 0.971568 0.0242811 0.971871
5.0 4e-6 0.60e-6 1.555 1.555 5 0 0.000114546 0.0286366 0.572732 0.000305554 1.21443E-06 2.66751 823429 251.602 3272.74 3.21559 13.9386 1166.41 0.971498 0.0242911 0.971802
5.0 4e-6 0.60e-6 1.56 1.56 5 0 0.000116084 0.0290211 0.580422 0.000307025 1.22009E-06 2.64484 819611 251.641 3257.07 3.2082 13.9186 1160.82 0.97143 0.0243011 0.971734
5.0 4e-6 0.60e-6 1.565 1.565 5 0 0.00011763 0.0294074 0.588149 0.000308487 1.2257E-06 2.62252 815859 251.682 3241.63 3.20092 13.8989 1155.35 0.971362 0.0243112 0.971666
5.0 4e-6 0.60e-6 1.57 1.57 5 0 0.000119182 0.0297956 0.595911 0.00030994 1.23127E-06 2.60055 812173 251.725 3226.43 3.19376 13.8796 1150 0.971295 0.0243213 0.9716
