FILTER REPORT
=============

Rejected point counts:

filter_reason           count
----------------------  -----
near_off_or_too_low_gm  39392
cg_rin_not_near_50ohm   6952 

First rejected examples, sorted by reason and NFmin:

filter_reason          device     topology  W_m    L_m    VBIAS_set_V  ID_A        Pdc_mW   gm_S        Rin_or_inv_gm_Ohm  NFmin_dB     NF_dB  
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.01         0.00230572  11.5286  0.00224109  446.211            0.000961763  8.61045
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.115        0.00254462  12.7231  0.00229218  436.267            0.000961779  8.71925
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.115        0.00254462  12.7231  0.00229218  436.267            0.000961779  8.71925
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.005        0.00229448  11.4724  0.00223853  446.723            0.000961799  8.60532
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.005        0.00229448  11.4724  0.00223853  446.723            0.000961799  8.60532
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.12         0.00255612  12.7806  0.00229448  435.828            0.000961815  8.7245 
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.12         0.00255612  12.7806  0.00229448  435.828            0.000961815  8.7245 
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2            0.00228324  11.4162  0.00223595  447.238            0.000961839  8.60019
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2            0.00228324  11.4162  0.00223595  447.238            0.000961839  8.60019
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.125        0.00256763  12.8382  0.00229677  435.393            0.000961855  8.72975
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.125        0.00256763  12.8382  0.00229677  435.393            0.000961855  8.72975
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  1.995        0.00227202  11.3601  0.00223336  447.756            0.000961882  8.59506
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  1.995        0.00227202  11.3601  0.00223336  447.756            0.000961882  8.59506
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.13         0.00257915  12.8958  0.00229906  434.961            0.000961898  8.73501
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.13         0.00257915  12.8958  0.00229906  434.961            0.000961898  8.73501
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  1.99         0.00226081  11.304   0.00223076  448.278            0.000961929  8.58994
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  1.99         0.00226081  11.304   0.00223076  448.278            0.000961929  8.58994
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.135        0.00259069  12.9534  0.00230133  434.532            0.000961944  8.74028
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.135        0.00259069  12.9534  0.00230133  434.532            0.000961944  8.74028
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  1.985        0.00224961  11.2481  0.00222814  448.804            0.000961979  8.58482
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  1.985        0.00224961  11.2481  0.00222814  448.804            0.000961979  8.58482
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.14         0.00260223  13.0111  0.00230359  434.105            0.000961993  8.74556
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.14         0.00260223  13.0111  0.00230359  434.105            0.000961993  8.74556
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  1.98         0.00223842  11.1921  0.00222552  449.334            0.000962033  8.5797 
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  1.98         0.00223842  11.1921  0.00222552  449.334            0.000962033  8.5797 
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.145        0.00261378  13.0689  0.00230584  433.682            0.000962045  8.75085
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.145        0.00261378  13.0689  0.00230584  433.682            0.000962045  8.75085
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  1.975        0.00222725  11.1363  0.00222288  449.868            0.00096209   8.57458
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  1.975        0.00222725  11.1363  0.00222288  449.868            0.00096209   8.57458
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.15         0.00262535  13.1267  0.00230808  433.261            0.0009621    8.75614
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.15         0.00262535  13.1267  0.00230808  433.261            0.0009621    8.75614
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  1.97         0.00221609  11.0805  0.00222022  450.405            0.000962151  8.56946
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  1.97         0.00221609  11.0805  0.00222022  450.405            0.000962151  8.56946
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.155        0.00263692  13.1846  0.0023103   432.843            0.000962158  8.76145
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.155        0.00263692  13.1846  0.0023103   432.843            0.000962158  8.76145
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  1.965        0.00220494  11.0247  0.00221756  450.946            0.000962215  8.56435
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  1.965        0.00220494  11.0247  0.00221756  450.946            0.000962215  8.56435
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.16         0.00264851  13.2425  0.00231252  432.429            0.000962219  8.76676
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.16         0.00264851  13.2425  0.00231252  432.429            0.000962219  8.76676

Important: very low NFmin at tiny gm/current is expected to be rejected. A transistor with gm in nS/uS range is not an LNA input device.
