VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro inv_gm_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 0.30e-6 0.60e-6 0.5 0.5 5 0 4.3411E-07 0.00144703 0.00217055 6.6893E-06 7.71875E-08 15.4092 12955500 86.6631 149492 0.00645588 26.2582 21074.9 0.999996 -0.000209112 0.999996
5.0 0.30e-6 0.60e-6 0.505 0.505 5 0 4.70518E-07 0.00156839 0.00235259 7.10872E-06 8.33164E-08 15.1083 12002400 85.322 140672 0.00644523 26.0894 20269.3 0.999996 -0.00020561 0.999996
5.0 0.30e-6 0.60e-6 0.51 0.51 5 0 5.09159E-07 0.0016972 0.00254579 7.5387E-06 8.97656E-08 14.8062 11140100 83.9821 132649 0.00644215 25.9299 19536.6 0.999996 -0.000202026 0.999996
5.0 0.30e-6 0.60e-6 0.515 0.515 5 0 5.50085E-07 0.00183362 0.00275043 7.97814E-06 9.65342E-08 14.5035 10359000 82.6458 125342 0.00644631 25.7799 18871.5 0.999996 -0.000198372 0.999996
5.0 0.30e-6 0.60e-6 0.52 0.52 5 0 5.93342E-07 0.00197781 0.00296671 8.42583E-06 1.0362E-07 14.2006 9650690 81.3151 118683 0.00645732 25.6393 18268.9 0.999996 -0.00019466 0.999996
5.0 0.30e-6 0.60e-6 0.525 0.525 5 0 6.38967E-07 0.00212989 0.00319484 8.88051E-06 1.11017E-07 13.8982 9007590 79.992 112606 0.00647482 25.5082 17724.2 0.999996 -0.000190902 0.999996
5.0 0.30e-6 0.60e-6 0.53 0.53 5 0 6.86994E-07 0.00228998 0.00343497 9.34087E-06 1.18722E-07 13.5967 8423050 78.6786 107056 0.00649842 25.3865 17233.2 0.999996 -0.000187111 0.999996
5.0 0.30e-6 0.60e-6 0.535 0.535 5 0 7.37445E-07 0.00245815 0.00368723 9.80557E-06 1.26725E-07 13.2967 7891090 77.3767 101983 0.00652773 25.2742 16791.7 0.999996 -0.000183301 0.999996
5.0 0.30e-6 0.60e-6 0.54 0.54 5 0 7.9034E-07 0.00263447 0.0039517 1.02733E-05 1.35018E-07 12.9985 7406420 76.088 97340.2 0.00656237 25.171 16396.2 0.999995 -0.000179486 0.999995
5.0 0.30e-6 0.60e-6 0.545 0.545 5 0 8.45687E-07 0.00281896 0.00422843 1.07425E-05 1.4359E-07 12.7028 6964290 74.8143 93087.8 0.00660195 25.0767 16043.3 0.999995 -0.000175678 0.999995
5.0 0.30e-6 0.60e-6 0.55 0.55 5 0 9.03489E-07 0.00301163 0.00451745 1.12121E-05 1.52428E-07 12.4098 6560490 73.5569 89189.3 0.00664609 24.9913 15729.8 0.999995 -0.000171892 0.999995
5.0 0.30e-6 0.60e-6 0.555 0.555 5 0 9.63743E-07 0.00321248 0.00481872 1.16806E-05 1.61519E-07 12.12 6191230 72.3173 85611.9 0.00669444 24.9145 15453 0.999995 -0.00016814 0.999995
