VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro inv_gm_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 50e-6 0.60e-6 1.66 1.66 5 0 0.00236891 0.0473782 11.8446 0.00461743 1.8177E-05 1.94918 55014.5 254.026 216.571 0.406157 3.0749 50.8803 0.907113 0.113136 0.914141
5.0 50e-6 0.60e-6 1.665 1.665 5 0 0.00239206 0.0478412 11.9603 0.00463123 1.82263E-05 1.93608 54865.9 254.096 215.925 0.406079 3.07474 50.8776 0.907098 0.113181 0.914131
5.0 50e-6 0.60e-6 1.67 1.67 5 0 0.00241527 0.0483055 12.0764 0.00464493 1.82751E-05 1.92315 54719.3 254.167 215.289 0.406007 3.07462 50.8759 0.907084 0.113225 0.914123
5.0 50e-6 0.60e-6 1.675 1.675 5 0 0.00243856 0.0487711 12.1928 0.00465853 1.83235E-05 1.91037 54574.6 254.238 214.66 0.40594 3.07455 50.8753 0.90707 0.11327 0.914115
5.0 50e-6 0.60e-6 1.68 1.68 5 0 0.0024619 0.0492381 12.3095 0.00467204 1.83716E-05 1.89774 54432 254.308 214.039 0.405879 3.07452 50.8758 0.907058 0.113314 0.914108
5.0 50e-6 0.60e-6 1.685 1.685 5 0 0.00248532 0.0497064 12.4266 0.00468546 1.84192E-05 1.88525 54291.2 254.379 213.426 0.405823 3.07455 50.8773 0.907046 0.113359 0.914102
5.0 50e-6 0.60e-6 1.69 1.69 5 0 0.0025088 0.0501759 12.544 0.00469878 1.84664E-05 1.87292 54152.4 254.45 212.821 0.405773 3.07461 50.8798 0.907036 0.113403 0.914097
5.0 50e-6 0.60e-6 1.695 1.695 5 0 0.00253234 0.0506468 12.6617 0.00471201 1.85133E-05 1.86073 54015.3 254.521 212.224 0.405729 3.07472 50.8834 0.907026 0.113448 0.914093
5.0 50e-6 0.60e-6 1.7 1.7 5 0 0.00255595 0.051119 12.7798 0.00472515 1.85597E-05 1.84869 53880.1 254.591 211.634 0.40569 3.07488 50.8879 0.907016 0.113493 0.914089
5.0 50e-6 0.60e-6 1.705 1.705 5 0 0.00257962 0.0515925 12.8981 0.00473819 1.86058E-05 1.83678 53746.6 254.662 211.051 0.405656 3.07508 50.8935 0.907008 0.113537 0.914087
5.0 50e-6 0.60e-6 1.71 1.71 5 0 0.00260336 0.0520672 13.0168 0.00475115 1.86515E-05 1.82501 53614.9 254.733 210.475 0.405627 3.07532 50.9 0.907001 0.113582 0.914085
5.0 50e-6 0.60e-6 1.715 1.715 5 0 0.00262716 0.0525432 13.1358 0.00476402 1.86969E-05 1.81337 53484.9 254.803 209.907 0.405604 3.07561 50.9075 0.906994 0.113627 0.914084
5.0 50e-6 0.60e-6 1.72 1.72 5 0 0.00265102 0.0530204 13.2551 0.00477679 1.87418E-05 1.80187 53356.6 254.873 209.346 0.405586 3.07593 50.916 0.906988 0.113672 0.914083
5.0 50e-6 0.60e-6 1.725 1.725 5 0 0.00267495 0.0534989 13.3747 0.00478948 1.87864E-05 1.7905 53229.9 254.943 208.791 0.405573 3.0763 50.9254 0.906983 0.113717 0.914084
5.0 50e-6 0.60e-6 1.73 1.73 5 0 0.00269893 0.0539786 13.4947 0.00480208 1.88307E-05 1.77925 53104.8 255.013 208.243 0.405564 3.07671 50.9357 0.906978 0.113762 0.914085
5.0 50e-6 0.60e-6 1.735 1.735 5 0 0.00272298 0.0544596 13.6149 0.00481459 1.88746E-05 1.76813 52981.2 255.083 207.702 0.405561 3.07716 50.947 0.906975 0.113807 0.914087
5.0 50e-6 0.60e-6 1.74 1.74 5 0 0.00274709 0.0549418 13.7354 0.00482701 1.89182E-05 1.75714 52859.3 255.152 207.168 0.405562 3.07765 50.9592 0.906972 0.113852 0.91409
5.0 50e-6 0.60e-6 1.745 1.745 5 0 0.00277126 0.0554251 13.8563 0.00483935 1.89614E-05 1.74626 52738.8 255.221 206.64 0.405568 3.07818 50.9722 0.906969 0.113897 0.914093
5.0 50e-6 0.60e-6 1.75 1.75 5 0 0.00279549 0.0559097 13.9774 0.00485159 1.90042E-05 1.73551 52619.9 255.29 206.118 0.405579 3.07875 50.9862 0.906968 0.113942 0.914097
5.0 50e-6 0.60e-6 1.755 1.755 5 0 0.00281977 0.0563955 14.0989 0.00486376 1.90468E-05 1.72488 52502.4 255.359 205.602 0.405595 3.07935 51.001 0.906967 0.113987 0.914102
5.0 50e-6 0.60e-6 1.76 1.76 5 0 0.00284412 0.0568824 14.2206 0.00487584 1.9089E-05 1.71436 52386.3 255.427 205.093 0.405615 3.08 51.0167 0.906967 0.114032 0.914107
5.0 50e-6 0.60e-6 1.765 1.765 5 0 0.00286853 0.0573705 14.3426 0.00488783 1.91308E-05 1.70395 52271.6 255.495 204.59 0.40564 3.08068 51.0333 0.906968 0.114078 0.914114
5.0 50e-6 0.60e-6 1.77 1.77 5 0 0.00289299 0.0578598 14.465 0.00489974 1.91724E-05 1.69366 52158.4 255.562 204.092 0.405669 3.0814 51.0507 0.906969 0.114123 0.914121
5.0 50e-6 0.60e-6 1.775 1.775 5 0 0.00291751 0.0583503 14.5876 0.00491157 1.92136E-05 1.68348 52046.4 255.63 203.601 0.405702 3.08215 51.0689 0.906971 0.114169 0.914128
5.0 50e-6 0.60e-6 1.78 1.78 5 0 0.00294209 0.0588419 14.7105 0.00492331 1.92545E-05 1.6734 51935.8 255.696 203.115 0.40574 3.08295 51.088 0.906973 0.114214 0.914136
5.0 50e-6 0.60e-6 1.785 1.785 5 0 0.00296673 0.0593346 14.8337 0.00493497 1.92951E-05 1.66344 51826.6 255.763 202.636 0.405782 3.08377 51.1079 0.906976 0.11426 0.914145
5.0 50e-6 0.60e-6 1.79 1.79 5 0 0.00299143 0.0598285 14.9571 0.00494655 1.93354E-05 1.65358 51718.6 255.828 202.161 0.405829 3.08464 51.1286 0.90698 0.114306 0.914155
5.0 50e-6 0.60e-6 1.795 1.795 5 0 0.00301618 0.0603235 15.0809 0.00495804 1.93754E-05 1.64382 51611.8 255.894 201.692 0.40588 3.08553 51.1501 0.906985 0.114352 0.914165
5.0 50e-6 0.60e-6 1.8 1.8 5 0 0.00304098 0.0608197 15.2049 0.00496946 1.94151E-05 1.63416 51506.3 255.959 201.229 0.405934 3.08647 51.1724 0.90699 0.114397 0.914176
5.0 50e-6 0.60e-6 1.805 1.805 5 0 0.00306584 0.0613169 15.3292 0.00498079 1.94545E-05 1.62461 51402 256.023 200.771 0.405993 3.08743 51.1955 0.906995 0.114443 0.914187
5.0 50e-6 0.60e-6 1.81 1.81 5 0 0.00309076 0.0618152 15.4538 0.00499205 1.94936E-05 1.61515 51298.9 256.087 200.319 0.406056 3.08843 51.2194 0.907002 0.114489 0.914199
5.0 50e-6 0.60e-6 1.815 1.815 5 0 0.00311573 0.0623146 15.5787 0.00500323 1.95324E-05 1.60579 51197 256.15 199.871 0.406123 3.08947 51.244 0.907009 0.114535 0.914212
