VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro inv_gm_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 4e-6 0.60e-6 0.665 0.665 5 0 7.03289E-09 1.75822E-06 3.51645E-05 1.61424E-07 6.65587E-10 22.9527 1502430000 242.528 6194870 0.0227967 7.00401 200.762 0.998085 0.0349952 0.998698
5.0 4e-6 0.60e-6 0.67 0.67 5 0 7.90331E-09 1.97583E-06 3.95166E-05 1.80919E-07 7.47771E-10 22.8915 1337310000 241.945 5527330 0.0241684 7.00417 200.771 0.998007 0.0350007 0.99862
5.0 4e-6 0.60e-6 0.675 0.675 5 0 8.87862E-09 2.21966E-06 4.43931E-05 2.02674E-07 8.39796E-10 22.8272 1190760000 241.337 4934040 0.0256182 7.00436 200.781 0.997924 0.0350067 0.998538
5.0 4e-6 0.60e-6 0.68 0.68 5 0 9.97094E-09 2.49273E-06 4.98547E-05 2.26933E-07 9.42787E-10 22.7595 1.06069E+09 240.705 4406580 0.02715 7.00457 200.793 0.997837 0.0350131 0.998451
5.0 4e-6 0.60e-6 0.685 0.685 5 0 1.11937E-08 2.79842E-06 5.59684E-05 2.53967E-07 1.05798E-09 22.6884 945196000 240.049 3937510 0.0287678 7.0048 200.806 0.997745 0.0350201 0.998359
5.0 4e-6 0.60e-6 0.69 0.69 5 0 1.25617E-08 3.14043E-06 6.28086E-05 2.84071E-07 1.18675E-09 22.614 842637000 239.369 3520250 0.0304759 7.00506 200.821 0.997648 0.0350277 0.998262
5.0 4e-6 0.60e-6 0.695 0.695 5 0 1.40915E-08 3.52287E-06 7.04574E-05 3.17566E-07 1.3306E-09 22.5361 751541000 238.664 3148950 0.0322785 7.00535 200.837 0.997545 0.0350359 0.99816
5.0 4e-6 0.60e-6 0.7 0.7 5 0 1.58011E-08 3.95028E-06 7.90056E-05 3.54808E-07 1.49119E-09 22.4546 670607000 237.937 2818430 0.03418 7.00568 200.856 0.997437 0.0350448 0.998053
5.0 4e-6 0.60e-6 0.705 0.705 5 0 1.77107E-08 4.42767E-06 8.85534E-05 3.9618E-07 1.67033E-09 22.3695 598683000 237.186 2.52411E+06 0.036185 7.00604 200.876 0.997323 0.0350544 0.997939
5.0 4e-6 0.60e-6 0.71 0.71 5 0 1.98422E-08 4.96056E-06 9.92111E-05 4.42102E-07 1.87004E-09 22.2809 534748000 236.413 2261920 0.0382982 7.00644 200.899 0.997203 0.0350649 0.99782
