W_m L_m VGS NFmin_dB NF_dB Rn SOpt_real SOpt_imag
1e-6 0.50e-6 0.50 0.0435015 26.9115 24503.7 0.999978 0.00146323
1e-6 0.50e-6 0.55 0.0692108 30.9025 61499.4 0.999986 0.00150835
1e-6 0.50e-6 0.60 0.0892776 33.0331 100477 0.999988 0.00159873
1e-6 0.50e-6 0.65 0.0834614 32.2882 84632.5 0.999987 0.00174865
1e-6 0.50e-6 0.70 0.0644721 29.7754 47429.8 0.999982 0.0019526
1e-6 0.50e-6 0.75 0.0509216 27.3733 27258.8 0.999976 0.00217464
1e-6 0.50e-6 0.80 0.0435117 25.6613 18362 0.99997 0.00236894
1e-6 0.50e-6 0.90 0.0368893 23.7719 11866.8 0.999961 0.00260614
1e-6 0.50e-6 1.00 0.0340527 22.8819 9658.71 0.999956 0.00270346
1e-6 0.50e-6 1.10 0.03257 22.4074 8653.87 0.999953 0.00274612
1e-6 0.50e-6 1.20 0.0317612 22.1386 8131.35 0.999951 0.00277029
5e-6 0.28e-6 0.35 0.01082 14.324 1303.21 0.999889 0.00563882
5e-6 0.28e-6 0.40 0.0191369 18.9746 3898.44 0.999926 0.00591766
5e-6 0.28e-6 0.45 0.0314047 22.992 9907.91 0.999944 0.0062605
5e-6 0.28e-6 0.50 0.0398613 24.7561 14897.6 0.999947 0.00664952
5e-6 0.28e-6 0.55 0.034869 23.2746 10577.2 0.999937 0.0070561
5e-6 0.28e-6 0.60 0.0266968 20.6495 5756.46 0.999919 0.00744881
5e-6 0.28e-6 0.65 0.0212095 18.3824 3395.08 0.999898 0.00780225
5e-6 0.28e-6 0.70 0.018071 16.7691 2326.17 0.999878 0.00810226
5e-6 0.28e-6 0.75 0.016335 15.7143 1813.77 0.999861 0.00834578
5e-6 0.28e-6 0.80 0.0153935 15.0592 1552.8 0.999849 0.0085374
5e-6 0.28e-6 0.90 0.0146671 14.4465 1341.91 0.999835 0.00879911
5e-6 0.28e-6 1.00 0.014586 14.2814 1289.98 0.99983 0.00895482
5e-6 0.28e-6 1.10 0.014741 14.299 1295.42 0.999828 0.00905345
5e-6 0.28e-6 1.20 0.0149956 14.3967 1326.03 0.999828 0.00912381
5e-6 0.36e-6 0.35 0.00550774 9.16748 362.776 0.999808 0.00593785
5e-6 0.36e-6 0.40 0.0100385 13.917 1182.17 0.999884 0.00604797
5e-6 0.36e-6 0.45 0.0176853 18.5786 3554.34 0.999923 0.00624546
5e-6 0.36e-6 0.50 0.029255 22.6889 9236.55 0.999942 0.00655835
5e-6 0.36e-6 0.55 0.0413942 25.3526 17098.4 0.999948 0.00700149
5e-6 0.36e-6 0.60 0.0426066 25.1428 16289.5 0.999941 0.00756014
5e-6 0.36e-6 0.65 0.0344304 22.7608 9391.47 0.999924 0.00818193
5e-6 0.36e-6 0.70 0.0272627 20.207 5193.96 0.999901 0.0087925
5e-6 0.36e-6 0.75 0.022951 18.2564 3296.54 0.999876 0.00932768
5e-6 0.36e-6 0.80 0.0205088 16.9228 2411.74 0.999855 0.00975594
5e-6 0.36e-6 0.90 0.0183084 15.4893 1719.64 0.999824 0.0103099
5e-6 0.36e-6 1.00 0.0175613 14.9028 1496.11 0.999809 0.0105946
5e-6 0.36e-6 1.10 0.0173435 14.6751 1417.13 0.999801 0.0107477
5e-6 0.36e-6 1.20 0.017363 14.6118 1395.91 0.999798 0.010843
5e-6 0.50e-6 0.35 0.00331683 5.68142 134.973 0.999691 0.00727036
5e-6 0.50e-6 0.40 0.00627143 10.2553 480.266 0.999824 0.00723102
5e-6 0.50e-6 0.45 0.0117735 15.3918 1680.41 0.999893 0.00722048
5e-6 0.50e-6 0.50 0.0211659 20.3382 5354.81 0.999928 0.00727264
5e-6 0.50e-6 0.55 0.0345941 24.4528 13889.4 0.999944 0.00744143
5e-6 0.50e-6 0.60 0.045928 26.6408 23020 0.999947 0.007806
5e-6 0.50e-6 0.65 0.044705 25.8874 19345.4 0.999938 0.00844979
