W_m L_m VGS ID_A JD_mA_per_um
5e-6 0.36e-6 0.50 1.37225E-07 2.74449E-05
5e-6 0.36e-6 0.55 4.59283E-07 9.18566E-05
5e-6 0.36e-6 0.60 1.38812E-06 0.000277624
5e-6 0.36e-6 0.65 3.69704E-06 0.000739407
5e-6 0.36e-6 0.70 8.49493E-06 0.00169899
5e-6 0.36e-6 0.75 1.68035E-05 0.00336069
5e-6 0.36e-6 0.80 2.91642E-05 0.00583284
5e-6 0.36e-6 0.90 6.5827E-05 0.0131654
5e-6 0.36e-6 1.00 0.000115909 0.0231817
5e-6 0.36e-6 1.10 0.000176198 0.0352396
5e-6 0.36e-6 1.20 0.000244232 0.0488464
5e-6 0.50e-6 0.35 6.33024E-10 1.26605E-07
5e-6 0.50e-6 0.40 2.48397E-09 4.96793E-07
5e-6 0.50e-6 0.45 9.5925E-09 1.9185E-06
5e-6 0.50e-6 0.50 3.58943E-08 7.17885E-06
5e-6 0.50e-6 0.55 1.27316E-07 2.54631E-05
5e-6 0.50e-6 0.60 4.17528E-07 8.35056E-05
5e-6 0.50e-6 0.65 1.23736E-06 0.000247473
5e-6 0.50e-6 0.70 3.22845E-06 0.000645691
5e-6 0.50e-6 0.75 7.25067E-06 0.00145013
5e-6 0.50e-6 0.80 1.40405E-05 0.0028081
5e-6 0.50e-6 0.90 3.70575E-05 0.0074115
5e-6 0.50e-6 1.00 7.18679E-05 0.0143736
5e-6 0.50e-6 1.10 0.000116356 0.0232712
5e-6 0.50e-6 1.20 0.000168574 0.0337149
10e-6 0.28e-6 0.35 4.0702E-08 4.0702E-06
10e-6 0.28e-6 0.40 1.53238E-07 1.53238E-05
10e-6 0.28e-6 0.45 5.45393E-07 5.45393E-05
10e-6 0.28e-6 0.50 1.7761E-06 0.00017761
10e-6 0.28e-6 0.55 5.12798E-06 0.000512798
10e-6 0.28e-6 0.60 1.2838E-05 0.0012838
10e-6 0.28e-6 0.65 2.76243E-05 0.00276243
10e-6 0.28e-6 0.70 5.15768E-05 0.00515768
10e-6 0.28e-6 0.75 8.54646E-05 0.00854646
10e-6 0.28e-6 0.80 0.00012888 0.012888
10e-6 0.28e-6 0.90 0.000239924 0.0239924
10e-6 0.28e-6 1.00 0.000375636 0.0375636
10e-6 0.28e-6 1.10 0.000528956 0.0528956
10e-6 0.28e-6 1.20 0.0006951 0.06951
10e-6 0.36e-6 0.35 5.34826E-09 5.34826E-07
10e-6 0.36e-6 0.40 2.08068E-08 2.08068E-06
10e-6 0.36e-6 0.45 7.87147E-08 7.87147E-06
10e-6 0.36e-6 0.50 2.8345E-07 2.8345E-05
10e-6 0.36e-6 0.55 9.45055E-07 9.45055E-05
10e-6 0.36e-6 0.60 2.84058E-06 0.000284058
10e-6 0.36e-6 0.65 7.51658E-06 0.000751658
10e-6 0.36e-6 0.70 1.71733E-05 0.00171733
10e-6 0.36e-6 0.75 3.38464E-05 0.00338464
10e-6 0.36e-6 0.80 5.86425E-05 0.00586425
10e-6 0.36e-6 0.90 0.000132272 0.0132272
10e-6 0.36e-6 1.00 0.000232948 0.0232948
10e-6 0.36e-6 1.10 0.000354147 0.0354147
10e-6 0.36e-6 1.20 0.000490855 0.0490855
10e-6 0.50e-6 0.35 1.28733E-09 1.28733E-07
10e-6 0.50e-6 0.40 5.05629E-09 5.05629E-07
10e-6 0.50e-6 0.45 1.95241E-08 1.95241E-06
10e-6 0.50e-6 0.50 7.29953E-08 7.29953E-06
10e-6 0.50e-6 0.55 2.58416E-07 2.58416E-05
10e-6 0.50e-6 0.60 8.44518E-07 8.44518E-05
10e-6 0.50e-6 0.65 2.49004E-06 0.000249004
10e-6 0.50e-6 0.70 6.46223E-06 0.000646223
10e-6 0.50e-6 0.75 1.44632E-05 0.00144632
10e-6 0.50e-6 0.80 2.79819E-05 0.00279819
10e-6 0.50e-6 0.90 7.4024E-05 0.0074024
10e-6 0.50e-6 1.00 0.000143979 0.0143979
10e-6 0.50e-6 1.10 0.000233559 0.0233559
10e-6 0.50e-6 1.20 0.000338753 0.0338753
