device,topology,SUPPLY_V,W_um,L_um,BIAS_V,ID_A,JD_mA_per_um,Pdc_mW,NFmin_dB,NF_dB,Rn_Ohm,GammaOpt_mag,GammaOpt_angle_deg,SOpt_real,SOpt_imag,source_jd_file,source_nf_file
nmos05,CG,5.0,20.0,0.6,2.05,0.00239613,0.119807,11.980649999999999,0.000961596,8.65164,319.834,0.9889118969379881,3.295064119863959,0.987277,0.0568407,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.075,0.00245302,0.122651,12.2651,0.000961601,8.67753,322.05,0.988907880559706,3.295054303549979,0.987273,0.0568403,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.045,0.00238479,0.119239,11.92395,0.000961605,8.64647,319.393,0.9889138878837529,3.2950516753003014,0.987279,0.0568406,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.08,0.00246443,0.123221,12.32215,0.000961612,8.68272,322.496,0.9889068764651401,3.295051849459025,0.987272,0.0568402,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.04,0.00237346,0.118673,11.8673,0.000961618,8.64132,318.954,0.9889148862305392,3.2950483451495365,0.98728,0.0568406,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.085,0.00247585,0.123792,12.379249999999999,0.000961626,8.68792,322.943,0.9889058666228043,3.2950436110858075,0.987271,0.05684,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.035,0.00236214,0.118107,11.8107,0.000961633,8.63616,318.515,0.9889158788295644,3.2950392307867524,0.987281,0.0568405,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.09,0.00248728,0.124364,12.4364,0.000961644,8.69312,323.391,0.9889058493795504,3.2950262582535625,0.987271,0.0568397,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.03,0.00235083,0.117542,11.75415,0.000961652,8.63101,318.077,0.9889168656808772,3.295024332229207,0.987282,0.0568403,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.095,0.00249873,0.124936,12.493649999999999,0.000961664,8.69834,323.84,0.9889048395372781,3.295018019845656,0.98727,0.0568395,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.025,0.00233954,0.116977,11.697700000000001,0.000961675,8.62587,317.641,0.9889188566267912,3.295011887808178,0.987284,0.0568402,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.1,0.00251019,0.125509,12.550949999999998,0.000961688,8.70356,324.291,0.988903823947324,3.2950039971314644,0.987269,0.0568392,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
